License Address,Total Page Count,,,
https://creativecommons.org/licenses/publicdomain/,39770000,,,
https://creativecommons.org/licenses/by-sa/3.0/,31700000,,,
http://creativecommons.org/licenses/by/4.0/,13300000,,,
http://creativecommons.org/licenses/by-sa/3.0/,12450000,,,
http://creativecommons.org/licenses/by/4.0/,11550000,,,
http://creativecommons.org/licenses/by-sa/3.0/,10160000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/,9820000,,,
http://creativecommons.org/licenses/by/3.0/es/,8160000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/,8030000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/,8030000,,,
http://creativecommons.org/licenses/by-nc-nd/4.0/,7610000,,,
http://creativecommons.org/licenses/by/3.0/,7390000,,,
http://creativecommons.org/licenses/by/3.0/,6470000,,,
http://creativecommons.org/licenses/by-nc-nd/4.0/,6270000,,,
https://creativecommons.org/licenses/by/2.0/,5850000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/,5660000,,,
http://creativecommons.org/licenses/by-nc-sa/4.0/,5300000,,,
http://creativecommons.org/licenses/by-sa/4.0/,4580000,,,
http://creativecommons.org/licenses/by-nc-sa/4.0/,4250000,,,
http://creativecommons.org/licenses/by-nc/4.0/,4000000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.fr,3580000,,,
http://creativecommons.org/publicdomain/zero/1.0/,2520000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.ru,2360000,,,
http://creativecommons.org/licenses/by-sa/2.0/,2300000,,,
https://creativecommons.org/licenses/by-nc-sa/4.0/,2020000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/us/,1910000,,,
https://creativecommons.org/licenses/by/4.0/,1890000,,,
http://creativecommons.org/licenses/by/4.0/,1750000,,,
http://creativecommons.org/licenses/by-nc/3.0/,1460000,,,
http://www.creativecommons.org/licenses/by-sa/3.0,1350000,,,
http://creativecommons.org/licenses/by-nc-nd/4.0/,1330000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.en_US,1220000,,,
http://creativecommons.org/licenses/by-nd/3.0/,1160000,,,
http://creativecommons.org/licenses/by-nc-sa/4.0/,1050000,,,
http://creativecommons.org/licenses/by-nd/3.0/,990000,,,
https://creativecommons.org/licenses/by-nc-nd/4.0/,960000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/us/,810000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/es/,800000,,,
http://creativecommons.org/licenses/by-nc/3.0/deed.en_US,770000,,,
https://creativecommons.org/licenses/by-sa/4.0/,760000,,,
