"PLAN_INDEX","TOOL_IDENTIFIER","COUNTRY","COUNT"
"933","CC BY 4.0","Afghanistan","709"
"934","CC BY 4.0","Albania","2000"
"935","CC BY 4.0","Algeria","7160"
"936","CC BY 4.0","American Samoa","10"
"937","CC BY 4.0","Andorra","31"
"938","CC BY 4.0","Angola","491"
"939","CC BY 4.0","Anguilla","1"
"940","CC BY 4.0","Antarctica","1200"
"941","CC BY 4.0","Antigua and Barbuda","31"
"942","CC BY 4.0","Argentina","232000"
"943","CC BY 4.0","Armenia","33900"
"944","CC BY 4.0","Aruba","10700"
"945","CC BY 4.0","Australia","1200000"
"946","CC BY 4.0","Austria","69200"
"947","CC BY 4.0","Azerbaijan","6790"
"948","CC BY 4.0","Bahamas","8"
"949","CC BY 4.0","Bahrain","471"
"950","CC BY 4.0","Bangladesh","2750"
"951","CC BY 4.0","Barbados","20"
"952","CC BY 4.0","Belarus","13200"
"953","CC BY 4.0","Belgium","205000"
"954","CC BY 4.0","Belize","17"
"955","CC BY 4.0","Benin","172"
"956","CC BY 4.0","Bermuda","6"
"957","CC BY 4.0","Bhutan","40200"
"958","CC BY 4.0","Bolivia","3850"
"959","CC BY 4.0","Bosnia and Herzegovina","4810"
"960","CC BY 4.0","Botswana","243"
"961","CC BY 4.0","Bouvet Island","0"
"962","CC BY 4.0","Brazil","7570000"
"963","CC BY 4.0","British Indian Ocean Territory","0"
"964","CC BY 4.0","Brunei Darussalam","467"
"965","CC BY 4.0","Bulgaria","25100"
"966","CC BY 4.0","Burkina Faso","828"
"967","CC BY 4.0","Burundi","16"
"968","CC BY 4.0","Cambodia","1110"
"969","CC BY 4.0","Cameroon","118"
"970","CC BY 4.0","Canada","942000"
"971","CC BY 4.0","Cape Verde","29"
"972","CC BY 4.0","Cayman Islands","6"
"973","CC BY 4.0","Central African Republic","1"
"974","CC BY 4.0","Chad","41"
"975","CC BY 4.0","Chile","71400"
"976","CC BY 4.0","China","336000"
"977","CC BY 4.0","Christmas Island","65"
"978","CC BY 4.0","Cocos (Keeling) Islands","0"
"979","CC BY 4.0","Colombia","272000"
"980","CC BY 4.0","Comoros","1"
"981","CC BY 4.0","Congo","111"
"982","CC BY 4.0","Congo, the Democratic Republic of the","3120"
"983","CC BY 4.0","Cook Islands","10"
"984","CC BY 4.0","Costa Rica","88400"
"985","CC BY 4.0","Cote D'ivoire","779"
"986","CC BY 4.0","Croatia (Hrvatska)","44600"
"987","CC BY 4.0","Cuba","58500"
"988","CC BY 4.0","Cyprus","13100"
"989","CC BY 4.0","Czech Republic","224000"
"990","CC BY 4.0","Denmark","78900"
"991","CC BY 4.0","Djibouti","16"
"992","CC BY 4.0","Dominica","9"
"993","CC BY 4.0","Dominican Republic","10600"
"994","CC BY 4.0","East Timor","0"
"995","CC BY 4.0","Ecuador","210000"
"996","CC BY 4.0","Egypt","12500"
"997","CC BY 4.0","El Salvador","9680"
"998","CC BY 4.0","Equatorial Guinea","41"
"999","CC BY 4.0","Eritrea","3"
"1000","CC BY 4.0","Estonia","9460"
"1001","CC BY 4.0","Ethiopia","3370"
"1002","CC BY 4.0","European Union","0"
"1003","CC BY 4.0","Falkland Islands (Malvinas)","60"
"1004","CC BY 4.0","Faroe Islands","761"
"1005","CC BY 4.0","Fiji","197"
"1006","CC BY 4.0","Finland","164000"
"1007","CC BY 4.0","France","911000"
"1008","CC BY 4.0","France, Metropolitan","0"
"1009","CC BY 4.0","French Guiana","6"
"1010","CC BY 4.0","French Polynesia","9"
"1011","CC BY 4.0","French Southern Territories","1"
"1012","CC BY 4.0","Gabon","2"
"1013","CC BY 4.0","Gambia","5"
"1014","CC BY 4.0","Georgia","2190"
"1015","CC BY 4.0","Germany","11700000"
"1016","CC BY 4.0","Ghana","6790"
"1017","CC BY 4.0","Gibraltar","5"
"1018","CC BY 4.0","Greece","132000"
"1019","CC BY 4.0","Greenland","40"
"1020","CC BY 4.0","Grenada","129"
"1021","CC BY 4.0","Guadeloupe","2"
"1022","CC BY 4.0","Guam","0"
"1023","CC BY 4.0","Guatemala","19300"
