"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"1","CC BY 4.0","378000000"
"2","CC BY-NC 4.0","143000000"
"3","CC BY-NC-ND 4.0","142000000"
"4","CC BY-NC-SA 4.0","58700000"
"5","CC BY-ND 4.0","109000000"
"6","CC BY-SA 4.0","177000000"
"7","PDM 1.0","11200000"
"8","CC0 1.0","31800000"
"9","CC BY 3.0","172000000"
"10","CC BY-NC 3.0","44300000"
"11","CC BY-NC-ND 3.0","44400000"
"12","CC BY-NC-SA 3.0","16200000"
"13","CC BY-ND 3.0","169000000"
"14","CC BY-SA 3.0","81000000"
"15","CC BY 2.5","211000000"
"16","CC BY-NC 2.5","55800000"
"17","CC BY-NC-ND 2.5","55800000"
"18","CC BY-NC-SA 2.5","21700000"
"19","CC BY-ND 2.5","210000000"
"20","CC BY-SA 2.5","108000000"
"21","CC BY 2.1","205000000"
"22","CC BY-NC 2.1","54600000"
"23","CC BY-NC-ND 2.1","54600000"
"24","CC BY-NC-SA 2.1","23600000"
"25","CC BY-ND 2.1","205000000"
"26","CC BY-SA 2.1","116000000"
"27","CC BY 2.0","163000000"
"28","CC BY-NC 2.0","30000000"
"29","CC BY-NC-ND 2.0","30100000"
"30","CC BY-NC-SA 2.0","12000000"
"31","CC BY-ND 2.0","23100000"
"32","CC BY-ND-NC 2.0","8040000"
"33","CC BY-SA 2.0","68600000"
"34","CC BY 1.0","199000000"
"35","CC BY-NC 1.0","43800000"
"36","CC BY-NC-SA 1.0","16100000"
"37","CC BY-ND 1.0","203000000"
"38","CC BY-ND-NC 1.0","10900000"
"39","CC BY-SA 1.0","87500000"
"40","CC BY 3.0 AM","130000000"
"41","CC BY-NC 3.0 AM","30000000"
"42","CC BY-NC-ND 3.0 AM","26200000"
"43","CC BY-NC-SA 3.0 AM","13200000"
"44","CC BY-ND 3.0 AM","115000000"
"45","CC BY-SA 3.0 AM","56500000"
"46","CC BY 3.0 AT","597000000"
"47","CC BY-NC 3.0 AT","186000000"
"48","CC BY-NC-ND 3.0 AT","47800000"
"49","CC BY-NC-SA 3.0 AT","94600000"
"50","CC BY-ND 3.0 AT","173000000"
"51","CC BY-SA 3.0 AT","275000000"
"52","CC BY 3.0 AU","189000000"
"53","CC BY-NC 3.0 AU","40100000"
"54","CC BY-NC-ND 3.0 AU","3160000"
"55","CC BY-NC-SA 3.0 AU","15100000"
"56","CC BY-ND 3.0 AU","30100000"
"57","CC BY-SA 3.0 AU","93900000"
"58","CC BY 3.0 AZ","13500000"
"59","CC BY-NC 3.0 AZ","611000"
"60","CC BY-NC-ND 3.0 AZ","431000"
"61","CC BY-NC-SA 3.0 AZ","301000"
"62","CC BY-ND 3.0 AZ","15400000"
"63","CC BY-SA 3.0 AZ","4870000"
"64","CC BY 3.0 BR","32000000"
"65","CC BY-NC 3.0 BR","5930000"
"66","CC BY-NC-ND 3.0 BR","5880000"
"67","CC BY-NC-SA 3.0 BR","818000"
"68","CC BY-ND 3.0 BR","34100000"
"69","CC BY-SA 3.0 BR","14000000"
"70","CC BY 3.0 CA","121000000"
"71","CC BY-NC 3.0 CA","25600000"
"72","CC BY-NC-ND 3.0 CA","21900000"
"73","CC BY-NC-SA 3.0 CA","12200000"
"74","CC BY-ND 3.0 CA","103000000"
"75","CC BY-SA 3.0 CA","53100000"
"76","CC BY 3.0 CH","86400000"
"77","CC BY-NC 3.0 CH","17600000"
"78","CC BY-NC-ND 3.0 CH","9340000"
"79","CC BY-NC-SA 3.0 CH","6320000"
"80","CC BY-ND 3.0 CH","74200000"
"81","CC BY-SA 3.0 CH","33100000"
"82","CC BY 3.0 CL","179000000"
"83","CC BY-NC 3.0 CL","48800000"
"84","CC BY-NC-ND 3.0 CL","5830000"
"85","CC BY-NC-SA 3.0 CL","23500000"
"86","CC BY-ND 3.0 CL","31500000"
"87","CC BY-SA 3.0 CL","108000000"
"88","CC BY 3.0 CN","22300000"
"89","CC BY-NC 3.0 CN","870000"
"90","CC BY-NC-ND 3.0 CN","702000"
"91","CC BY-NC-SA 3.0 CN","401000"
"92","CC BY-ND 3.0 CN","17400000"
"93","CC BY-SA 3.0 CN","6190000"
"94","CC BY 3.0 CR","40300000"
"95","CC BY-NC 3.0 CR","6240000"
"96","CC BY-NC-ND 3.0 CR","2540000"
"97","CC BY-NC-SA 3.0 CR","824000"
"98","CC BY-ND 3.0 CR","35200000"
"99","CC BY-SA 3.0 CR","21500000"
"100","CC BY 3.0 CZ","375000"
"101","CC BY-NC 3.0 CZ","128000"
"102","CC BY-NC-ND 3.0 CZ","114000"
"103","CC BY-NC-SA 3.0 CZ","88100"
"104","CC BY-ND 3.0 CZ","306000"
"105","CC BY-SA 3.0 CZ","189000"
"106","CC BY 3.0 DE","437000000"
"107","CC BY-NC 3.0 DE","149000000"
"108","CC BY-NC-ND 3.0 DE","26700000"
"109","CC BY-NC-SA 3.0 DE","74100000"
"110","CC BY-ND 3.0 DE","18600000"
"111","CC BY-SA 3.0 DE","236000000"
"112","CC BY 3.0 EC","196000000"
"113","CC BY-NC 3.0 EC","48900000"
"114","CC BY-NC-ND 3.0 EC","5980000"
"115","CC BY-NC-SA 3.0 EC","21700000"
"116","CC BY-ND 3.0 EC","34000000"
"117","CC BY-SA 3.0 EC","115000000"
"118","CC BY 3.0 EE","14200000"
"119","CC BY-NC 3.0 EE","782000"
"120","CC BY-NC-ND 3.0 EE","680000"
"121","CC BY-NC-SA 3.0 EE","568000"
"122","CC BY-ND 3.0 EE","12600000"
"123","CC BY-SA 3.0 EE","3470000"
"124","CC BY 3.0 EG","130000000"
"125","CC BY-NC 3.0 EG","25100000"
"126","CC BY-NC-ND 3.0 EG","25000000"
"127","CC BY-NC-SA 3.0 EG","9390000"
"128","CC BY-ND 3.0 EG","130000000"
"129","CC BY-SA 3.0 EG","53900000"
"130","CC BY 3.0 ES","37500000"
"131","CC BY-NC 3.0 ES","7060000"
"132","CC BY-NC-ND 3.0 ES","2910000"
"133","CC BY-NC-SA 3.0 ES","840000"
"134","CC BY-ND 3.0 ES","32800000"
"135","CC BY-SA 3.0 ES","21200000"
"136","CC BY 3.0 FR","589000000"
"137","CC BY-NC 3.0 FR","185000000"
"138","CC BY-NC-ND 3.0 FR","17300000"
"139","CC BY-NC-SA 3.0 FR","94000000"
"140","CC BY-ND 3.0 FR","172000000"
"141","CC BY-SA 3.0 FR","269000000"
"142","CC BY 3.0 GE","139000000"
"143","CC BY-NC 3.0 GE","31000000"
"144","CC BY-NC-ND 3.0 GE","1510000"
"145","CC BY-NC-SA 3.0 GE","15600000"
"146","CC BY-ND 3.0 GE","26900000"
"147","CC BY-SA 3.0 GE","72200000"
"148","CC BY 3.0 GR","83800000"
"149","CC BY-NC 3.0 GR","17600000"
"150","CC BY-NC-ND 3.0 GR","692000"
"151","CC BY-NC-SA 3.0 GR","786000"
"152","CC BY-ND 3.0 GR","66100000"
"153","CC BY-SA 3.0 GR","26100000"
"154","CC BY 3.0 GT","38400000"
"155","CC BY-NC 3.0 GT","5280000"
"156","CC BY-NC-ND 3.0 GT","311000"
"157","CC BY-NC-SA 3.0 GT","765000"
"158","CC BY-ND 3.0 GT","1880000"
"159","CC BY-SA 3.0 GT","17100000"
"160","CC BY 3.0 HK","17500000"
"161","CC BY-NC 3.0 HK","681000"
"162","CC BY-NC-ND 3.0 HK","522000"
"163","CC BY-NC-SA 3.0 HK","331000"
"164","CC BY-ND 3.0 HK","15600000"
"165","CC BY-SA 3.0 HK","3210000"
"166","CC BY 3.0 HR","56500000"
"167","CC BY-NC 3.0 HR","9790000"
"168","CC BY-NC-ND 3.0 HR","7770000"
"169","CC BY-NC-SA 3.0 HR","1330000"
"170","CC BY-ND 3.0 HR","48000000"
"171","CC BY-SA 3.0 HR","23700000"
"172","CC BY 3.0 IE","315000000"
"173","CC BY-NC 3.0 IE","97500000"
"174","CC BY-NC-ND 3.0 IE","12300000"
"175","CC BY-NC-SA 3.0 IE","38900000"
"176","CC BY-ND 3.0 IE","78300000"
"177","CC BY-SA 3.0 IE","170000000"
"178","CC BY 3.0 IGO","196000"
"179","CC BY-NC 3.0 IGO","112000"
