"PLAN_INDEX","TOOL_IDENTIFIER","LANGUAGE","COUNT"
"653","CC BY 4.0","Arabic","32600"
"654","CC BY 4.0","Bulgarian","19900"
"655","CC BY 4.0","Catalan","93500"
"656","CC BY 4.0","Chinese (Simplified)","225000"
"657","CC BY 4.0","Chinese (Traditional)","65100"
"658","CC BY 4.0","Croatian","66600"
"659","CC BY 4.0","Czech","148000"
"660","CC BY 4.0","Danish","70400"
"661","CC BY 4.0","Dutch","165000"
"662","CC BY 4.0","English","433000000"
"663","CC BY 4.0","Estonian","7910"
"664","CC BY 4.0","Finnish","72900"
"665","CC BY 4.0","French","1200000"
"666","CC BY 4.0","German","6800000"
"667","CC BY 4.0","Greek","41300"
"668","CC BY 4.0","Hebrew","31800"
"669","CC BY 4.0","Hungarian","38800"
"670","CC BY 4.0","Icelandic","15900"
"671","CC BY 4.0","Indonesian","3110000"
"672","CC BY 4.0","Italian","488000"
"673","CC BY 4.0","Japanese","280000"
"674","CC BY 4.0","Korean","113000"
"675","CC BY 4.0","Latvian","33000"
"676","CC BY 4.0","Lithuanian","39500"
"677","CC BY 4.0","Norwegian","69000"
"678","CC BY 4.0","Polish","208000"
"679","CC BY 4.0","Portuguese","2180000"
"680","CC BY 4.0","Romanian","40400"
"681","CC BY 4.0","Russian","370000"
"682","CC BY 4.0","Serbian","80100"
"683","CC BY 4.0","Slovak","30400"
"684","CC BY 4.0","Slovenian","128000"
"685","CC BY 4.0","Spanish","8100000"
"686","CC BY 4.0","Swedish","103000"
"687","CC BY 4.0","Turkish","162000"
"688","CC BY-NC 4.0","Arabic","4920"
"689","CC BY-NC 4.0","Bulgarian","9430"
"690","CC BY-NC 4.0","Catalan","19800"
"691","CC BY-NC 4.0","Chinese (Simplified)","39600"
"692","CC BY-NC 4.0","Chinese (Traditional)","30600"
"693","CC BY-NC 4.0","Croatian","16600"
"694","CC BY-NC 4.0","Czech","13500"
"695","CC BY-NC 4.0","Danish","10800"
"696","CC BY-NC 4.0","Dutch","36900"
"697","CC BY-NC 4.0","English","151000000"
"698","CC BY-NC 4.0","Estonian","2460"
"699","CC BY-NC 4.0","Finnish","11900"
"700","CC BY-NC 4.0","French","716000"
"701","CC BY-NC 4.0","German","111000"
"702","CC BY-NC 4.0","Greek","18100"
"703","CC BY-NC 4.0","Hebrew","4460"
"704","CC BY-NC 4.0","Hungarian","7440"
"705","CC BY-NC 4.0","Icelandic","4390"
"706","CC BY-NC 4.0","Indonesian","103000"
"707","CC BY-NC 4.0","Italian","149000"
"708","CC BY-NC 4.0","Japanese","21900"
"709","CC BY-NC 4.0","Korean","53400"
"710","CC BY-NC 4.0","Latvian","9590"
"711","CC BY-NC 4.0","Lithuanian","9020"
"712","CC BY-NC 4.0","Norwegian","8910"
"713","CC BY-NC 4.0","Polish","64400"
"714","CC BY-NC 4.0","Portuguese","682000"
"715","CC BY-NC 4.0","Romanian","5100"
"716","CC BY-NC 4.0","Russian","27600"
"717","CC BY-NC 4.0","Serbian","15700"
"718","CC BY-NC 4.0","Slovak","3770"
"719","CC BY-NC 4.0","Slovenian","77800"
"720","CC BY-NC 4.0","Spanish","971000"
"721","CC BY-NC 4.0","Swedish","28800"
"722","CC BY-NC 4.0","Turkish","99900"
"723","CC BY-NC-ND 4.0","Arabic","4770"
"724","CC BY-NC-ND 4.0","Bulgarian","9130"
"725","CC BY-NC-ND 4.0","Catalan","18800"
"726","CC BY-NC-ND 4.0","Chinese (Simplified)","38900"
"727","CC BY-NC-ND 4.0","Chinese (Traditional)","30300"
"728","CC BY-NC-ND 4.0","Croatian","11800"
"729","CC BY-NC-ND 4.0","Czech","9080"
"730","CC BY-NC-ND 4.0","Danish","9800"
"731","CC BY-NC-ND 4.0","Dutch","29500"
"732","CC BY-NC-ND 4.0","English","151000000"
"733","CC BY-NC-ND 4.0","Estonian","1750"
"734","CC BY-NC-ND 4.0","Finnish","8550"
"735","CC BY-NC-ND 4.0","French","320000"
"736","CC BY-NC-ND 4.0","German","81800"
"737","CC BY-NC-ND 4.0","Greek","9400"
"738","CC BY-NC-ND 4.0","Hebrew","4370"
"739","CC BY-NC-ND 4.0","Hungarian","5000"
"740","CC BY-NC-ND 4.0","Icelandic","3980"
"741","CC BY-NC-ND 4.0","Indonesian","65600"
"742","CC BY-NC-ND 4.0","Italian","148000"
"743","CC BY-NC-ND 4.0","Japanese","30800"
"744","CC BY-NC-ND 4.0","Korean","53100"
"745","CC BY-NC-ND 4.0","Latvian","6650"
"746","CC BY-NC-ND 4.0","Lithuanian","6940"
"747","CC BY-NC-ND 4.0","Norwegian","6100"
"748","CC BY-NC-ND 4.0","Polish","30800"
"749","CC BY-NC-ND 4.0","Portuguese","490000"
"750","CC BY-NC-ND 4.0","Romanian","1570"
"751","CC BY-NC-ND 4.0","Russian","24800"
"752","CC BY-NC-ND 4.0","Serbian","14700"
"753","CC BY-NC-ND 4.0","Slovak","2160"
"754","CC BY-NC-ND 4.0","Slovenian","24500"
"755","CC BY-NC-ND 4.0","Spanish","422000"
"756","CC BY-NC-ND 4.0","Swedish","27200"
"757","CC BY-NC-ND 4.0","Turkish","57400"
"758","CC BY-NC-SA 4.0","Arabic","2140"
"759","CC BY-NC-SA 4.0","Bulgarian","8850"
"760","CC BY-NC-SA 4.0","Catalan","9290"
"761","CC BY-NC-SA 4.0","Chinese (Simplified)","17100"
"762","CC BY-NC-SA 4.0","Chinese (Traditional)","28400"
"763","CC BY-NC-SA 4.0","Croatian","16500"
"764","CC BY-NC-SA 4.0","Czech","6060"
"765","CC BY-NC-SA 4.0","Danish","3410"
"766","CC BY-NC-SA 4.0","Dutch","9990"
"767","CC BY-NC-SA 4.0","English","64200000"
