"Language","Count"
"English","953100000"
"Spanish","12585200"
"German","5756800"
"Indonesian","3307270"
"Portuguese","2823500"
"French","2665900"
"Turkish","857300"
"Italian","685200"
"Japanese","559650"
"Russian","544200"
"Dutch","495260"
"Polish","463900"
"Slovenian","382517"
"Chinese (Simplified)","321330"
"Czech","256800"
"Korean","252480"
"Swedish","223300"
"Serbian","173660"
"Catalan","162150"
"Danish","141160"
"Croatian","130460"
"Greek","126425"
"Norwegian","116420"
"Finnish","104350"
"Arabic","83780"
"Hungarian","81210"
"Chinese (Traditional)","77627"
"Romanian","76580"
"Slovak","66598"
"Lithuanian","63627"
"Latvian","47472"
"Hebrew","38346"
"Icelandic","26250"
"Bulgarian","25914"
"Estonian","23777"
