"PLAN_INDEX","TOOL_IDENTIFIER","CATEGORY","COUNT"
"8","Creative Commons","cs.MM","6"
"9","Creative Commons","cs.DS","3"
"10","Creative Commons","cs.CL","12"
"11","Creative Commons","cs.CY","2"
"12","Creative Commons","econ.GN","1"
"13","Creative Commons","cs.SD","2"
"14","Creative Commons","physics.chem-ph","1"
"15","Creative Commons","physics.ed-ph","5"
"16","Creative Commons","cs.OH","1"
"17","Creative Commons","q-bio.NC","1"
"18","Creative Commons","stat.AP","1"
"19","Creative Commons","stat.OT","1"
"20","Creative Commons","cs.CV","3"
"21","Creative Commons","cs.LG","2"
"22","Creative Commons","math.HO","2"
"23","Creative Commons","q-bio.BM","1"
"24","Creative Commons","cs.DL","1"
"25","CC BY","cs.CL","4"
"26","CC BY","cs.IR","2"
"27","CC BY","cs.SI","1"
"28","CC BY","cs.AI","1"
"29","CC BY-NC-ND","cs.CY","1"
"30","CC BY-NC-ND","cs.DL","1"
"31","CC BY-NC","cs.HC","1"
"32","CC BY-NC","cs.CL","1"
"33","CC BY-NC","eess.IV","1"
"34","CC BY-NC-SA","cs.CL","3"
"35","CC BY-SA","cs.SD","1"
"36","CC BY-SA","cs.SE","3"
"37","CC0","hep-ph","2"
"38","CC0","hep-ex","5"
"39","CC0","cs.AI","1"
"40","CC0","cs.LO","1"
"41","CC0","cs.CL","2"
"42","CC0","cs.DL","7"
"43","CC0","nucl-th","1"
"44","CC0","cs.CV","4"
"45","CC0","astro-ph.IM","1"
