"TOOL_IDENTIFIER","CATEGORY_CODE","CATEGORY_LABEL","COUNT"
"CC BY 4.0","astro-ph.GA","Astrophysics of Galaxies","1"
"CC BY 4.0","astro-ph.SR","Solar and Stellar Astrophysics","1"
"CC BY 4.0","cond-mat.dis-nn","Disordered Systems and Neural Networks","1"
"CC BY 4.0","cond-mat.mes-hall","Mesoscale and Nanoscale Physics","2"
"CC BY 4.0","cond-mat.mtrl-sci","Materials Science","6"
"CC BY 4.0","cond-mat.soft","Soft Condensed Matter","3"
"CC BY 4.0","cond-mat.stat-mech","Statistical Mechanics","2"
"CC BY 4.0","cond-mat.supr-con","Superconductivity","1"
"CC BY 4.0","cs.AI","Artificial Intelligence","1"
"CC BY 4.0","cs.AR","Hardware Architecture","1"
"CC BY 4.0","cs.CE","Computational Engineering, Finance, and Science","3"
"CC BY 4.0","cs.CL","Computation and Language","5"
"CC BY 4.0","cs.CR","Cryptography and Security","3"
"CC BY 4.0","cs.CV","Computer Vision and Pattern Recognition","4"
"CC BY 4.0","cs.DB","Databases","1"
"CC BY 4.0","cs.DC","Distributed, Parallel, and Cluster Computing","2"
"CC BY 4.0","cs.GT","Computer Science and Game Theory","2"
"CC BY 4.0","cs.IT","Information Theory","2"
"CC BY 4.0","cs.LG","Machine Learning","9"
"CC BY 4.0","cs.LO","Logic in Computer Science","1"
"CC BY 4.0","cs.MA","Multiagent Systems","1"
"CC BY 4.0","cs.NE","Neural and Evolutionary Computing","1"
"CC BY 4.0","cs.NI","Networking and Internet Architecture","1"
"CC BY 4.0","cs.PL","Programming Languages","1"
"CC BY 4.0","cs.RO","Robotics","1"
"CC BY 4.0","cs.SD","Sound","1"
"CC BY 4.0","cs.SE","Software Engineering","1"
"CC BY 4.0","cs.SI","Social and Information Networks","1"
"CC BY 4.0","econ.EM","Econometrics","2"
"CC BY 4.0","econ.GN","General Economics","1"
"CC BY 4.0","eess.IV","Image and Video Processing","2"
"CC BY 4.0","eess.SP","Signal Processing","2"
"CC BY 4.0","eess.SY","Systems and Control","14"
"CC BY 4.0","hep-ex","High Energy Physics - Experiment","3"
"CC BY 4.0","hep-ph","High Energy Physics - Phenomenology","2"
"CC BY 4.0","hep-th","High Energy Physics - Theory","4"
"CC BY 4.0","math.AG","Algebraic Geometry","4"
"CC BY 4.0","math.AP","Analysis of PDEs","2"
"CC BY 4.0","math.AT","Algebraic Topology","1"
"CC BY 4.0","math.CO","Combinatorics","1"
"CC BY 4.0","math.CT","Category Theory","1"
"CC BY 4.0","math.DG","Differential Geometry","1"
"CC BY 4.0","math.DS","Dynamical Systems","2"
"CC BY 4.0","math.FA","Functional Analysis","2"
"CC BY 4.0","math.GT","Geometric Topology","1"
"CC BY 4.0","math.LO","Logic","1"
"CC BY 4.0","math.MG","Metric Geometry","1"
