"PLAN_INDEX","TOOL_IDENTIFIER","YEAR","COUNT"
"46","Creative Commons","2024","1"
"47","Creative Commons","2020","8"
"48","Creative Commons","2021","6"
"49","Creative Commons","2015","4"
"50","Creative Commons","2016","3"
"51","Creative Commons","2018","4"
"52","Creative Commons","2023","2"
"53","Creative Commons","2013","4"
"54","Creative Commons","2019","3"
"55","Creative Commons","2025","1"
"56","Creative Commons","2017","3"
"57","Creative Commons","2011","1"
"58","Creative Commons","2014","3"
"59","Creative Commons","2012","1"
"60","Creative Commons","2022","1"
"61","CC BY","2022","5"
"62","CC BY","2019","1"
"63","CC BY","2020","1"
"64","CC BY","2017","1"
"65","CC BY-NC-ND","2020","1"
"66","CC BY-NC-ND","2018","1"
"67","CC BY-NC","2019","1"
"68","CC BY-NC","2025","1"
"69","CC BY-NC","2022","1"
"70","CC BY-NC-SA","2019","2"
"71","CC BY-NC-SA","2025","1"
"72","CC BY-SA","2020","1"
"73","CC BY-SA","2018","3"
"74","CC0","2022","3"
"75","CC0","2017","1"
"76","CC0","2019","1"
"77","CC0","2024","6"
"78","CC0","2012","1"
"79","CC0","2016","1"
"80","CC0","2020","4"
"81","CC0","2021","2"
"82","CC0","2023","2"
"83","CC0","2025","2"
"84","CC0","2011","1"
