"PLAN_INDEX","TOOL_IDENTIFIER","AUTHOR_COUNT","COUNT"
"85","Creative Commons","3","9"
"86","Creative Commons","2","14"
"87","Creative Commons","1","6"
"88","Creative Commons","8","2"
"89","Creative Commons","10","1"
"90","Creative Commons","4","6"
"91","Creative Commons","5","2"
"92","Creative Commons","9","2"
"93","Creative Commons","7","3"
"94","CC BY","6","2"
"95","CC BY","2","2"
"96","CC BY","3","2"
"97","CC BY","4","1"
"98","CC BY","5","1"
"99","CC BY-NC-ND","10","1"
"100","CC BY-NC-ND","1","1"
"101","CC BY-NC","3","2"
"102","CC BY-NC","4","1"
"103","CC BY-NC-SA","2","1"
"104","CC BY-NC-SA","3","2"
"105","CC BY-SA","2","2"
"106","CC BY-SA","3","1"
"107","CC BY-SA","5","1"
"108","CC0","23","1"
"109","CC0","1","3"
"110","CC0","4","5"
"111","CC0","2","2"
"112","CC0","3","4"
"113","CC0","5","3"
"114","CC0","7","1"
"115","CC0","17","1"
"116","CC0","6","2"
"117","CC0","48","1"
"118","CC0","185","1"
