"TOOL_IDENTIFIER","LANGUAGE_CODE","LANGUAGE","COUNT"
"CC BY","EN","English","25"
"CC BY","LT","Lithuanian","1"
"CC BY","HU","Hungarian","1"
"CC BY","ID","Indonesian","1"
"CC BY","RU","Russian","1"
"CC BY-NC","EN","English","7"
"CC BY-NC","FR","French","1"
"CC BY-NC","RU","Russian","1"
"CC BY-NC-SA","FR","French","1"
"CC BY-NC-SA","UK","Ukrainian","1"
"CC BY-NC-SA","EN","English","2"
"CC BY-NC-SA","ES","Spanish","1"
"CC BY-NC-ND","ZH","Chinese","2"
"CC BY-NC-ND","ES","Spanish","4"
"CC BY-NC-ND","PT","Portuguese","2"
"CC BY-NC-ND","EN","English","5"
"CC BY-NC-ND","FR","French","2"
"CC BY-NC-ND","IT","Italian","2"
"CC BY-NC-ND","ID","Indonesian","1"
"CC BY-NC-ND","DE","German","1"
"CC BY-ND","EN","English","3"
"CC BY-ND","SK","Slovak","1"
"CC BY-ND","DE","German","1"
"CC BY-ND","FR","French","1"
"CC BY-ND","BG","Bulgarian","1"
"CC BY-SA","EN","English","2"
"CC BY-SA","ID","Indonesian","1"
