"TOOL_IDENTIFIER","PUBLISHER","COUNTRY_CODE","COUNTRY_NAME","COUNT"
"CC BY","Nature Portfolio","GB","United Kingdom","3"
"CC BY","Oxford University Press","GB","United Kingdom","1"
"CC BY","Universitas Brawijaya","ID","Indonesia","1"
"CC BY","Pensoft Publishers","BG","Bulgaria","1"
"CC BY","Lithuanian Sports University","LT","Lithuania","1"
"CC BY","Cambridge University Press","GB","United Kingdom","1"
"CC BY","Frontiers Media S.A.","CH","Switzerland","3"
"CC BY","Elsevier","NL","Netherlands","1"
"CC BY","Taylor & Francis Group","GB","United Kingdom","2"
"CC BY","Elsevier","GB","United Kingdom","1"
"CC BY","Bioscientifica","GB","United Kingdom","1"
"CC BY","Emerald Publishing","GB","United Kingdom","1"
"CC BY","Brandeis University Library","US","United States","1"
"CC BY","Centre for Economic and Regional Studies Eötvös Lóránd Research Network","HU","Hungary","1"
"CC BY","Universitas Duta Bangsa Surakarta","ID","Indonesia","1"
"CC BY","Publishing House OKI","RU","Russia","1"
"CC BY","Elsevier","US","United States","1"
"CC BY","IOP Publishing","GB","United Kingdom","1"
"CC BY","KeAi Communications Co. Ltd.","CN","China","1"
"CC BY","Geological Society of London","GB","United Kingdom","1"
"CC BY","Faculty of Veterinary Medicine, Chiang Mai University","TH","Thailand","1"
"CC BY","Stockholm University Press","SE","Sweden","1"
"CC BY-NC","Amasya University","TR","Turkey","1"
"CC BY-NC","University of Mohaghegh Ardabili","IR","Iran","1"
"CC BY-NC","Institut Africain des Droits de l'homme et de la Démocratie","CD","Democratic Republic of the Congo","1"
"CC BY-NC","Zabansaraye Parsian Novin Mehr Institute","IR","Iran","1"
"CC BY-NC","European Publishing","GR","Greece","1"
"CC BY-NC","Adventist University of Africa","KE","Kenya","1"
"CC BY-NC","National Research  Mordovia State University","RU","Russia","1"
"CC BY-NC-SA","Quamoter","FR","France","1"
"CC BY-NC-SA","Institute of Pedagogy of NAES","UA","Ukraine","1"
"CC BY-NC-SA","Sociedad Ecuatoriana de Pediatría (Núcleo de Quito)","EC","Ecuador","1"
"CC BY-NC-ND","Oil Crops Research Institute, Chinese Academy of Agricultural Sciences","CN","China","1"
"CC BY-NC-ND","Seminario Mayor de Medellín","CO","Colombia","1"
"CC BY-NC-ND","Universidad de los Andes (Bogotá)","CO","Colombia","1"
"CC BY-NC-ND","Tirant lo Blanch","ES","Spain","1"
"CC BY-NC-ND","Sekolah Vokasi Universitas Gadjah Mada","ID","Indonesia","1"
"CC BY-NC-ND","Editorial Office of Journal of Fisheries of China","CN","China","1"
"CC BY-NC-ND","Duke University Press","US","United States","1"
"CC BY-NC-ND","Modern Language Society of Helsinki","FI","Finland","1"
"CC BY-ND","Mahasarakham University","TH","Thailand","1"
"CC BY-ND","Graz University of Technology","AT","Austria","1"
"CC BY-ND","Academic Research and Culture Association","BG","Bulgaria","1"
"CC BY-SA","Lembaga Penelitian Universitas Islam Internasional Darullughah Wadda'wah","ID","Indonesia","1"
"CC BY-SA","Universitas Diponegoro","ID","Indonesia","1"
