OTL_ID,TITLE,LICENSE,SUBJECT1,SUBJECT2,PUBLISHER,YEAR
4,Financial Accounting,Attribution-NonCommercial-ShareAlike,Business - Accounting,Business,University of Minnesota Libraries Publishing,2016
7,Book of Proof - Third Edition,Attribution-NoDerivs,Mathematics - Pure,Mathematics - Pure,Richard Hammack,2013
8,Business Communication for Success,Attribution-NonCommercial-ShareAlike,Business,"Journalism, Media Studies & Communications - Organizational Communication",University of Minnesota Libraries Publishing,2015
9,College Success,Attribution-NonCommercial-ShareAlike,Student Success,,University of Minnesota Libraries Publishing,2015
10,Calculus,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Pure,Wellesley-Cambridge Press,1991
11,Collaborative Statistics,Attribution,Mathematics,Mathematics - Applied,OpenStax CNX,2012
12,College Algebra,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Pure,Stitz Zeager Open Source Mathematics,2013
13,Elementary Algebra,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Pure,Saylor Foundation,2011
14,eMarketing: The Essential Guide to Marketing in a Digital World - 6th Edition,Attribution-NonCommercial-ShareAlike,Business - Marketing,Business - Marketing,Red & Yellow,2013
15,Exploring Business,Attribution-NonCommercial-ShareAlike,Business - Management,Business - Management,University of Minnesota Libraries Publishing,2016
16,Information Systems: A Manager's Guide to Harnessing Technology,Attribution-NonCommercial-ShareAlike,Computer Science,,University of Minnesota Libraries Publishing,2015
18,International Finance: Theory and Policy,Attribution-NonCommercial-ShareAlike,Business - Finance,Business - Finance,Saylor Foundation,2010
19,International Trade: Theory and Policy,Attribution-NonCommercial-ShareAlike,Social Sciences - Economics,,Saylor Foundation,2010
20,Introduction to Physical Oceanography,Attribution-NonCommercial-ShareAlike,Natural Sciences - Earth Sciences,,,2008
22,Introductory Chemistry,Attribution-NonCommercial-ShareAlike,Natural Sciences - Chemistry,Natural Sciences - Chemistry,Saylor Foundation,2011
23,Launch! Advertising and Promotion in Real Time,Attribution-NonCommercial-ShareAlike,Business - Marketing,Business - Marketing,Saylor Foundation,2009
24,Linear Algebra,Attribution-ShareAlike,Mathematics,Mathematics - Pure,Jim Hefferon,2016
28,Microeconomics: Theory Through Applications,Attribution-NonCommercial-ShareAlike,Social Sciences - Economics,,Saylor Foundation,2011
29,Money and Banking,Attribution-NonCommercial-ShareAlike,Business,Business - Accounting,Saylor Foundation,2012
30,Organizational Behavior,Attribution-NonCommercial-ShareAlike,Business - Human Resources,Business - Human Resources,University of Minnesota Libraries Publishing,2017
31,Personal Finance,Attribution-NonCommercial-ShareAlike,Business - Finance,Business - Finance,Saylor Foundation,2009
32,Principles of Economics,Attribution-NonCommercial-ShareAlike,Social Sciences - Economics,,University of Minnesota Libraries Publishing,2016
33,Principles of Macroeconomics,Attribution-NonCommercial-ShareAlike,Social Sciences - Economics,,University of Minnesota Libraries Publishing,2016
34,Principles of Management,Attribution-NonCommercial-ShareAlike,Business - Management,Business - Management,University of Minnesota Libraries Publishing,2015
35,Programming Languages: Application and Interpretation - Version Second Edition,Attribution-NonCommercial-ShareAlike,Computer Science,,Brown University,2007
36,Project Management from Simple to Complex,Attribution-NonCommercial-ShareAlike,Business - Management,Business - Management,University of Minnesota Libraries Publishing,2016
37,Risk Management for Enterprises and Individuals,Attribution-NonCommercial-ShareAlike,Business - Management,Business - Management,Saylor Foundation,2009
38,Sociology: Understanding and Changing the Social World,Attribution-NonCommercial-ShareAlike,Social Sciences - Sociology,Social Sciences - Sociology,University of Minnesota Libraries Publishing,2016
39,"Sustainability, Innovation, and Entrepreneurship",Attribution-NonCommercial-ShareAlike,Business - Management,Business - Management,Saylor Foundation,2011
40,"The Basics of General, Organic, and Biological Chemistry",Attribution-NonCommercial-ShareAlike,Natural Sciences - Chemistry,Natural Sciences - Chemistry,Saylor Foundation,2011
42,The Power of Selling,Attribution-NonCommercial-ShareAlike,Business,Business - Marketing,Saylor Foundation,2010
43,Think Python: How to Think Like a Computer Scientist - 2e,Attribution-NonCommercial,Computer Science - Programming Languages,Computer Science - Programming Languages,Green Tea Press,2012
45,Writing Spaces: Readings on Writing Vol. I,Attribution-NonCommercial-NoDerivs,"Humanities - Literature, Rhetoric, and Poetry","Humanities - Literature, Rhetoric, and Poetry",WAC Clearinghouse,2010
46,Business Information Systems: Design an App for That,Attribution-NonCommercial-ShareAlike,Computer Science - Information Systems,Computer Science - Information Systems,Saylor Foundation,2011
47,Introduction to Economic Analysis,Attribution-NonCommercial-ShareAlike,Social Sciences - Economics,,Saylor Foundation,2009
48,Introduction to Psychology,Attribution-NonCommercial-ShareAlike,Social Sciences - Psychology,Social Sciences - Psychology,University of Minnesota Libraries Publishing,2015
50,Principles of Marketing,Attribution-NonCommercial-ShareAlike,Business - Marketing,Business - Marketing,University of Minnesota Libraries Publishing,2015
51,The Legal and Ethical Environment of Business,Attribution-NonCommercial-ShareAlike,Business,Law,Saylor Foundation,2011
52,Whitman Calculus,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Pure,David Guichard,2010
53,Writing for Success,Attribution-NonCommercial-ShareAlike,"Humanities - Literature, Rhetoric, and Poetry",Student Success,University of Minnesota Libraries Publishing,2015
54,An Introduction to Formal Logic,Attribution-ShareAlike,Humanities - Philosophy,Humanities - Philosophy,Fecundity,2012
