METRIC,VALUE
TOTAL_CC_RESOURCES,1091
""
LICENSE_TYPE,COUNT
Attribution-NonCommercial-ShareAlike,441
Attribution,292
Attribution-NonCommercial,169
Attribution-ShareAlike,146
Attribution-NonCommercial-NoDerivs,42
Attribution-NoDerivs,1
""
SUBJECT,COUNT
"Humanities - Literature, Rhetoric, and Poetry",66
Mathematics,65
Humanities - Languages,61
Natural Sciences - Biology,56
Computer Science,53
Education,41
Business,36
Business - Management,32
Humanities - Arts,31
Social Sciences - Psychology,29
