"UNIT","CC0_RECORDS","CC0_RECORDS_WITH_CC0_MEDIA","TOTAL_OBJECTS"
"AAA","0","0","29735"
"AAG","0","0","344"
"ACM","251","247","2977"
"ACMA","0","0","57"
"CFCHFOLKLIFE","17544","0","18517"
"CHNDM","58158","54590","201545"
"FBR","1517","37","11248"
"FSG","4720","4720","45588"
"HAC","430","430","1437"
"HMSG","449","448","13898"
"HSFA","0","0","299"
"NASM","1010","989","32325"
"NMAAHC","22224","4465","22577"
"NMAH","1316502","10548","1317248"
"NMAI","237637","180","239307"
"NMAfA","111","111","12477"
"NMNHANTHRO","497734","0","497734"
"NMNHBIRDS","635217","559038","635217"
"NMNHBOTANY","4562256","3572487","4562256"
"NMNHEDUCATION","6473","4090","6473"
"NMNHENTO","731838","197223","731838"
"NMNHFISHES","502585","10806","502585"
"NMNHHERPS","615308","2345","615308"
"NMNHINV","2003972","70094","2003972"
"NMNHMAMMALS","626133","542046","626133"
"NMNHMINSCI","465275","11311","465275"
"NMNHPALEO","743533","94487","743533"
"NPG","15446","14540","123566"
"NPM","10814","8005","83710"
"NZP","1061","1061","2086"
"OCIO_DPO3D","108","17","146"
"OFEO-SG","5509","3665","7295"
"SAAM","13626","12891","188157"
"SIA","35498","5477","48169"
"SIL","1035579","13567","1039087"
"SILAF","63416","0","63416"
"SILNMAHTL","34577","0","34577"
"SLA_SRO","104811","0","104811"
