"LANGUAGE_CODE","LANGUAGE_NAME","COUNT"
"aa","Qafár af","0"
"ab","аԥсшәа","6472"
"ace","Acèh","12999"
"ady","адыгабзэ","599"
"af","Afrikaans","126595"
"ak","","0"
"alt","алтай тил","1101"
"am","አማርኛ","15451"
"ami","Pangcah","1144"
"an","aragonés","50226"
"ang","Ænglisc","4957"
"ann","Obolo","433"
"anp","अंगिका","1646"
"ar","العربية","1282820"
"arc","ܐܪܡܝܐ","1915"
"ary","الدارجة","10825"
"arz","مصرى","1629311"
"as","অসমীয়া","19767"
"ast","asturianu","137611"
"atj","Atikamekw","2076"
"av","авар","3854"
"avk","Kotava","29897"
"awa","अवधी","2516"
"ay","Aymar aru","5223"
"az","azərbaycanca","208056"
"azb","تۆرکجه","244326"
"ba","башҡортса","63908"
"ban","Basa Bali","33278"
"bar","Boarisch","27200"
"bbc","Batak Toba","1189"
"bcl","Bikol Central","21048"
"bdr","Bajau Sama","236"
"be","беларуская","256444"
"be-tarask","беларуская (тарашкевіца)","89749"
"bew","Betawi","3026"
"bg","български","306056"
"bh","भोजपुरी","8851"
"bi","Bislama","1480"
"bjn","Banjar","11400"
"blk","ပအိုဝ်ႏဘာႏသာႏ","2907"
"bm","bamanankan","898"
"bn","বাংলা","176479"
"bo","བོད་ཡིག","7213"
"bpy","বিষ্ণুপ্রিয়া মণিপুরী","25092"
"br","brezhoneg","89494"
"bs","bosanski","95910"
"btm","Batak Mandailing","1179"
"bug","Basa Ugi","15954"
"bxr","буряад","2910"
"ca","català","782222"
"cbk-zam","Chavacano de Zamboanga","3236"
"cdo","閩東語 / Mìng-dĕ̤ng-ngṳ̄","16683"
"ce","нохчийн","638164"
"ceb","Cebuano","6115948"
"ch","Chamoru","558"
"cho","Chahta anumpa","6"
"chr","ᏣᎳᎩ","1001"
"chy","Tsetsêhestâhese","724"
"ckb","کوردی","78902"
"co","corsu","8561"
"cr","Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ","14"
"crh","qırımtatarca","29602"
"cs","čeština","578366"
"csb","kaszëbsczi","5495"
"cu","словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ","1309"
"cv","чӑвашла","57971"
"cy","Cymraeg","283604"
"da","dansk","310995"
"dag","dagbanli","13245"
"de","Deutsch","3058904"
"dga","Dagaare","2599"
"din","Thuɔŋjäŋ","338"
"diq","Zazaki","42338"
"dsb","dolnoserbski","3426"
"dtp","Kadazandusun","1697"
"dty","डोटेली","3623"
"dv","ދިވެހިބަސް","3189"
"dz","ཇོང་ཁ","366"
"ee","eʋegbe","1265"
"el","Ελληνικά","259342"
"eml","emiliàn e rumagnòl","13639"
"en","English","7073120"
"eo","Esperanto","376402"
"es","español","2067074"
"et","eesti","255202"
"eu","euskara","473330"
"ext","estremeñu","4024"
"fa","فارسی","1058528"
"fat","mfantse","1116"
"ff","Fulfulde","11945"
"fi","suomi","605523"
"fj","Na Vosa Vakaviti","1615"
"fo","føroyskt","14175"
"fon","fɔ̀ngbè","3239"
"fr","français","2713959"
"frp","arpetan","5810"
"frr","Nordfriisk","20549"
"fur","furlan","4876"
"fy","Frysk","58186"
"ga","Gaeilge","62497"
"gag","Gagauz","3015"
"gan","贛語","6771"
"gcr","kriyòl gwiyannen","1075"
"gd","Gàidhlig","16007"
"gl","galego","227035"
"glk","گیلکی","48350"
"gn","Avañe'ẽ","5965"
"gom","गोंयची कोंकणी / Gõychi Konknni","3640"
"gor","Bahasa Hulontalo","14828"
"got","𐌲𐌿𐍄𐌹𐍃𐌺","975"
"gpe","Ghanaian Pidgin","3848"
"gsw","Alemannisch","31353"
"gu","ગુજરાતી","30700"
"guc","wayuunaiki","683"
"gur","farefare","1167"
"guw","gungbe","1550"
"gv","Gaelg","6922"
"ha","Hausa","70566"
"hak","客家語 / Hak-kâ-ngî","10377"
"haw","Hawaiʻi","2961"
"he","עברית","384161"
"hi","हिन्दी","166792"
"hif","Fiji Hindi","11992"
"ho","Hiri Motu","3"
"hr","hrvatski","228010"
"hsb","hornjoserbsce","14164"
"ht","Kreyòl ayisyen","71059"
"hu","magyar","561537"
"hy","հայերեն","322693"
"hyw","Արեւմտահայերէն","13142"
"hz","Otsiherero","0"
"ia","interlingua","30116"
"iba","Jaku Iban","1807"
"id","Bahasa Indonesia","746488"
"ie","Interlingue","13324"
"ig","Igbo","43614"
"igl","Igala","927"
