PLAN INDEX,MEDIA TYPE,TOOL IDENTIFIER,COUNT,PROPORTION OF TYPE
1,audio,CC BY,10,0.7692307692307693
2,audio,All Rights Reserved,3,0.23076923076923078
3,file,All Rights Reserved,79,0.9634146341463414
4,file,Public Domain,2,0.024390243902439025
5,file,CC BY,1,0.012195121951219513
6,image,CC BY,862,0.44250513347022585
7,image,All Rights Reserved,498,0.25564681724845995
8,image,CC BY-NC,318,0.16324435318275154
9,image,Public Domain,267,0.1370636550308008
10,image,CC BY-NC-ND,3,0.001540041067761807
11,uri,All Rights Reserved,86,0.9662921348314607
12,uri,CC BY-NC,3,0.033707865168539325
13,video,All Rights Reserved,56,0.8
14,video,CC BY,13,0.18571428571428572
15,video,CC BY-NC,1,0.014285714285714285
