PLAN INDEX,RECORD TYPE,TOOL IDENTIFIER,COUNT,PROPORTION OF DOMAIN
1,article,CC BY,194,0.5187165775401069
2,article,All Rights Reserved,108,0.2887700534759358
3,article,CC BY-NC,61,0.16310160427807488
4,article,Public Domain,11,0.029411764705882353
5,item,All Rights Reserved,508,0.41368078175895767
6,item,CC BY,463,0.3770358306188925
7,item,Public Domain,257,0.20928338762214985
8,species,CC BY-NC,258,0.645
9,species,CC BY,92,0.23
10,species,All Rights Reserved,47,0.1175
11,species,CC BY-NC-ND,3,0.0075
12,specimen,CC BY,137,0.685
13,specimen,All Rights Reserved,59,0.295
14,specimen,CC BY-NC,3,0.015
15,specimen,Public Domain,1,0.005
