"LICENSE","LICENSE_TYPE","LICENSE_VERSION","BASE_LICENSE","FILE_COUNT","FILE_PERCENTAGE","PAGE_COUNT","PAGE_PERCENTAGE","IS_FREE_CULTURAL","IS_PUBLIC_DOMAIN"
"CC BY-SA 4.0","CC BY-SA","4.0","BY-SA","31157944","37.87","2","1.38","True","False"
"CC BY-SA 2.0","CC BY-SA","2.0","BY-SA","15475190","18.81","13","8.97","True","False"
"CC BY-SA 3.0","CC BY-SA","3.0","BY-SA","14711405","17.88","1","0.69","True","False"
"CC BY 2.0","CC BY","2.0","BY","7750438","9.42","0","0.0","True","False"
"CC BY 4.0","CC BY","4.0","BY","4938662","6.0","1","0.69","True","False"
"CC BY 3.0","CC BY","3.0","BY","3524336","4.28","124","85.52","True","False"
"CC BY-SA 2.5","CC BY-SA","2.5","BY-SA","2290286","2.78","0","0.0","True","False"
"CC BY-SA 1.0","CC BY-SA","1.0","BY-SA","1922661","2.34","1","0.69","True","False"
"CC BY 2.5","CC BY","2.5","BY","460944","0.56","0","0.0","True","False"
"CC BY 1.0","CC BY","1.0","BY","28737","0.03","0","0.0","True","False"
"CC BY-NC 3.0","CC BY-NC","3.0","BY-NC","7360","0.01","2","1.38","False","False"
"CC BY-NC-SA 4.0","CC BY-NC-SA","4.0","BY-NC-SA","235","0.0","0","0.0","False","False"
"CC BY-NC 4.0","CC BY-NC","4.0","BY-NC","3","0.0","1","0.69","False","False"
"CC BY-NC 2.0","CC BY-NC","2.0","BY-NC","0","0.0","0","0.0","False","False"
"CC BY-NC 2.5","CC BY-NC","2.5","BY-NC","0","0.0","0","0.0","False","False"
"CC BY-NC 1.0","CC BY-NC","1.0","BY-NC","0","0.0","0","0.0","False","False"
"CC BY-NC-SA 1.0","CC BY-NC-SA","1.0","BY-NC-SA","0","0.0","0","0.0","False","False"
"CC BY-NC-ND 4.0","CC BY-NC-ND","4.0","BY-NC-ND","0","0.0","0","0.0","False","False"
"CC BY-NC-ND 3.0","CC BY-NC-ND","3.0","BY-NC-ND","0","0.0","0","0.0","False","False"
"CC BY-NC-ND 2.5","CC BY-NC-ND","2.5","BY-NC-ND","0","0.0","0","0.0","False","False"
"CC BY-NC-ND 2.0","CC BY-NC-ND","2.0","BY-NC-ND","0","0.0","0","0.0","False","False"
"CC BY-NC-ND 1.0","CC BY-NC-ND","1.0","BY-NC-ND","0","0.0","0","0.0","False","False"
"CC BY-NC-SA 2.5","CC BY-NC-SA","2.5","BY-NC-SA","0","0.0","0","0.0","False","False"
"CC BY-NC-SA 2.0","CC BY-NC-SA","2.0","BY-NC-SA","0","0.0","0","0.0","False","False"
"CC BY-ND 3.0","CC BY-ND","3.0","BY-ND","0","0.0","0","0.0","False","False"
"CC BY-ND 2.5","CC BY-ND","2.5","BY-ND","0","0.0","0","0.0","False","False"
"CC BY-ND 2.0","CC BY-ND","2.0","BY-ND","0","0.0","0","0.0","False","False"
"CC BY-ND 1.0","CC BY-ND","1.0","BY-ND","0","0.0","0","0.0","False","False"
"CC BY-NC-SA 3.0","CC BY-NC-SA","3.0","BY-NC-SA","0","0.0","0","0.0","False","False"
"CC BY-ND 4.0","CC BY-ND","4.0","BY-ND","0","0.0","0","0.0","False","False"
"CC0 1.0","CC0","1.0","CC0","0","0.0","0","0.0","False","True"
"PDM 1.0","PDM","1.0","PDM","0","0.0","0","0.0","False","True"
"TOTAL","TOTAL","ALL","ALL","82268201","100.0","145","100.0","False","False"
