"TOOL_IDENTIFIER","AUTHOR_BUCKET","COUNT"
"CC BY 3.0","1","2045"
"CC BY 3.0","2","2024"
"CC BY 3.0","3","1620"
"CC BY 3.0","4","842"
"CC BY 3.0","5+","1382"
"CC BY 4.0","1","63338"
"CC BY 4.0","2","93447"
"CC BY 4.0","3","98136"
"CC BY 4.0","4","73383"
"CC BY 4.0","5+","156344"
"CC BY-NC-ND 4.0","1","8473"
"CC BY-NC-ND 4.0","2","14145"
"CC BY-NC-ND 4.0","3","15128"
"CC BY-NC-ND 4.0","4","11921"
"CC BY-NC-ND 4.0","5+","26596"
"CC BY-NC-SA 3.0","1","1560"
"CC BY-NC-SA 3.0","2","1586"
"CC BY-NC-SA 3.0","3","1225"
"CC BY-NC-SA 3.0","4","680"
"CC BY-NC-SA 3.0","5+","823"
"CC BY-NC-SA 4.0","1","6544"
"CC BY-NC-SA 4.0","2","9881"
"CC BY-NC-SA 4.0","3","11239"
"CC BY-NC-SA 4.0","4","9130"
"CC BY-NC-SA 4.0","5+","20888"
"CC BY-SA 4.0","1","3745"
"CC BY-SA 4.0","2","5107"
"CC BY-SA 4.0","3","5392"
"CC BY-SA 4.0","4","4035"
"CC BY-SA 4.0","5+","8167"
"CC0 1.0","1","3523"
"CC0 1.0","2","4415"
"CC0 1.0","3","4114"
"CC0 1.0","4","2679"
"CC0 1.0","5+","4863"
