"LANGUAGE_CODE","LANGUAGE_NAME_EN","LANGUAGE_NAME","COUNT"
"ab","Abkhazian","аԥсшәа","6488"
"ace","Acehnese","Acèh","13010"
"ady","Adyghe","адыгабзэ","635"
"af","Afrikaans","Afrikaans","127948"
"alt","Southern Altai","алтай тил","1101"
"am","Amharic","አማርኛ","15571"
"ami","Amis","Pangcah","1146"
"an","Aragonese","aragonés","51253"
"ang","Old English","Ænglisc","5145"
"ann","Obolo","Obolo","433"
"anp","Angika","अंगिका","1671"
"ar","Arabic","العربية","1298552"
"arc","Aramaic","ܐܪܡܝܐ","1916"
"ary","Moroccan Arabic","الدارجة","11164"
"arz","Egyptian Arabic","مصرى","1630615"
"as","Assamese","অসমীয়া","21365"
"ast","Asturian","asturianu","138667"
"atj","Atikamekw","Atikamekw","2078"
"av","Avaric","авар","4008"
"avk","Kotava","Kotava","29900"
"awa","Awadhi","अवधी","2614"
"ay","Aymara","Aymar aru","5253"
"az","Azerbaijani","azərbaycanca","211739"
"azb","South Azerbaijani","تۆرکجه","244550"
"ba","Bashkir","башҡортса","63925"
"ban","Balinese","Basa Bali","35446"
"bar","Bavarian","Boarisch","27210"
"bbc","Batak Toba","Batak Toba","1419"
"bcl","Central Bikol","Bikol Central","21413"
"bdr","West Coast Bajau","Bajau Sama","236"
"be","Belarusian","беларуская","261406"
"be-tarask","Belarusian (Taraškievica orthography)","беларуская (тарашкевіца)","90559"
"bew","Betawi","Betawi","3149"
"bg","Bulgarian","български","307553"
"bh","Bhojpuri","भोजपुरी","8882"
"bi","Bislama","Bislama","1486"
"bjn","Banjar","Banjar","11570"
"blk","Pa'O","ပအိုဝ်ႏဘာႏသာႏ","2910"
"bm","Bambara","bamanankan","864"
"bn","Bangla","বাংলা","180980"
"bo","Tibetan","བོད་ཡིག","7979"
"bpy","Bishnupriya","বিষ্ণুপ্রিয়া মণিপুরী","25092"
"br","Breton","brezhoneg","90521"
"bs","Bosnian","bosanski","96704"
"btm","Batak Mandailing","Batak Mandailing","1199"
"bug","Buginese","Basa Ugi","15953"
"bxr","Russia Buriat","буряад","2909"
"ca","Catalan","català","788490"
"cbk-zam","Chavacano","Chavacano de Zamboanga","3235"
"cdo","Mindong","閩東語 / Mìng-dĕ̤ng-ngṳ̄","16705"
"ce","Chechen","нохчийн","817961"
"ceb","Cebuano","Cebuano","6115802"
"ch","Chamorro","Chamoru","559"
"cho","Choctaw","Chahta anumpa","6"
"chr","Cherokee","ᏣᎳᎩ","987"
"chy","Cheyenne","Tsetsêhestâhese","721"
"ckb","Central Kurdish","کوردی","79665"
"co","Corsican","corsu","8636"
"crh","Crimean Tatar","qırımtatarca","29643"
"cs","Czech","čeština","585914"
"csb","Kashubian","kaszëbsczi","5517"
"cu","Church Slavic","словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ","1333"
"cv","Chuvash","чӑвашла","58520"
"cy","Welsh","Cymraeg","283980"
"da","Danish","dansk","312543"
"dag","Dagbani","dagbanli","13437"
"de","German","Deutsch","3094702"
"dga","Southern Dagaare","Dagaare","3052"
"din","Dinka","Thuɔŋjäŋ","323"
"diq","Dimli","Zazaki","42604"
"dsb","Lower Sorbian","dolnoserbski","3442"
"dtp","Central Dusun","Kadazandusun","1773"
"dty","Doteli","डोटेली","3641"
"dv","Divehi","ދިވެހިބަސް","3196"
"dz","Dzongkha","ཇོང་ཁ","418"
"ee","Ewe","eʋegbe","1267"
"el","Greek","Ελληνικά","264155"
"eml","Emiliano-Romagnolo","emiliàn e rumagnòl","13866"
"en","English","English","7133096"
"eo","Esperanto","Esperanto","381498"
"es","Spanish","español","2092829"
"et","Estonian","eesti","257594"
"eu","Basque","euskara","479936"
"ext","Extremaduran","estremeñu","4146"
"fa","Persian","فارسی","1067480"
"fat","Fanti","mfantse","1757"
"ff","Fula","Fulfulde","13925"
"fi","Finnish","suomi","612806"
"fj","Fijian","Na Vosa Vakaviti","1693"
"fo","Faroese","føroyskt","14193"
"fon","Fon","fɔ̀ngbè","3469"
"fr","French","français","2737424"
"frp","Arpitan","arpetan","5820"
"frr","Northern Frisian","Nordfriisk","20832"
"fur","Friulian","furlan","4921"
"fy","Western Frisian","Frysk","59230"
"ga","Irish","Gaeilge","62914"
"gag","Gagauz","Gagauz","3013"
"gan","Gan","贛語","6816"
"gcr","Guianan Creole","kriyòl gwiyannen","1075"
"gd","Scottish Gaelic","Gàidhlig","16023"
"gl","Galician","galego","229643"
"glk","Gilaki","گیلکی","48301"
"gn","Guarani","Avañe'ẽ","6000"
"gom","Goan Konkani","गोंयची कोंकणी / Gõychi Konknni","3641"
"gor","Gorontalo","Bahasa Hulontalo","15015"
"got","Gothic","𐌲𐌿𐍄𐌹𐍃𐌺","1006"
"gpe","Ghanaian Pidgin","Ghanaian Pidgin","4390"
"gsw","Alemannic","Alemannisch","31502"
"gu","Gujarati","ગુજરાતી","30797"
"guc","Wayuu","wayuunaiki","695"
"gur","Frafra","farefare","1329"
"guw","Gun","gungbe","1568"
"gv","Manx","Gaelg","7080"
"ha","Hausa","Hausa","88888"
"hak","Hakka Chinese","客家語 / Hak-kâ-ngî","10393"
"haw","Hawaiian","Hawaiʻi","2973"
"he","Hebrew","עברית","390244"
"hi","Hindi","हिन्दी","167400"
"hif","Fiji Hindi","Fiji Hindi","12143"
"ho","Hiri Motu","Hiri Motu","3"
"hr","Croatian","hrvatski","229301"
"hsb","Upper Sorbian","hornjoserbsce","14231"
"ht","Haitian Creole","Kreyòl ayisyen","71511"
"hu","Hungarian","magyar","566086"
"hy","Armenian","հայերեն","324237"
"hyw","Western Armenian","Արեւմտահայերէն","13360"
"ia","Interlingua","interlingua","30189"
"iba","Iban","Jaku Iban","2067"
"id","Indonesian","Bahasa Indonesia","763209"
"ie","Interlingue","Interlingue","13458"
"ig","Igbo","Igbo","44269"
"igl","Igala","Igala","945"
"ii","Sichuan Yi","ꆇꉙ","3"
"ik","Inupiaq","Iñupiatun","594"
"ilo","Iloko","Ilokano","15448"
"inh","Ingush","гӀалгӀай","2503"
"io","Ido","Ido","60785"
"is","Icelandic","íslenska","61163"
"it","Italian","italiano","1955513"
"iu","Inuktitut","ᐃᓄᒃᑎᑐᑦ / inuktitut","425"
"ja","Japanese","日本語","1488984"
"jam","Jamaican Creole English","Patois","1732"
"jbo","Lojban","la .lojban.","1352"
"jv","Javanese","Jawa","74925"
"ka","Georgian","ქართული","190431"
"kaa","Kara-Kalpak","Qaraqalpaqsha","11290"
"kab","Kabyle","Taqbaylit","7013"
"kaj","Jju","Jju","216"
"kbd","Kabardian","адыгэбзэ","1640"
"kbp","Kabiye","Kabɩyɛ","1714"
"kcg","Tyap","Tyap","1478"
"kg","Kongo","Kongo","1579"
"kge","Komering","Kumoring","2878"
"ki","Kikuyu","Gĩkũyũ","2090"
"kj","Kuanyama","Kwanyama","4"
"kk","Kazakh","қазақша","242414"
"km","Khmer","ភាសាខ្មែរ","11948"
"kn","Kannada","ಕನ್ನಡ","34506"
"knc","Central Kanuri","Yerwa Kanuri","1624"
"ko","Korean","한국어","737592"
"koi","Komi-Permyak","перем коми","3469"
"krc","Karachay-Balkar","къарачай-малкъар","2737"
"ks","Kashmiri","کٲشُر","8792"
"ksh","Colognian","Ripoarisch","3038"
"ku","Kurdish","kurdî","90996"
"kus","Kusaal","Kʋsaal","1261"
"kv","Komi","коми","5739"
"kw","Cornish","kernowek","7101"
"ky","Kyrgyz","кыргызча","76158"
"la","Latin","Latina","141015"
"lad","Ladino","Ladino","3924"
"lb","Luxembourgish","Lëtzebuergesch","66588"
"lbe","Lak","лакку","1090"
"lez","Lezghian","лезги","4456"
"lfn","Lingua Franca Nova","Lingua Franca Nova","4503"
"lg","Ganda","Luganda","4494"
"li","Limburgish","Limburgs","15155"
"lij","Ligurian","Ligure","11480"
"lld","Ladin","Ladin","180840"
"lmo","Lombard","lombard","79974"
"ln","Lingala","lingála","4886"
"lo","Lao","ລາວ","5449"
"lrc","Northern Luri","لۊری شومالی","1"
"lt","Lithuanian","lietuvių","224926"
"ltg","Latgalian","latgaļu","1118"
"lv","Latvian","latviešu","140700"
"lzh","Literary Chinese","文言","13964"
"mad","Madurese","Madhurâ","5043"
"mai","Maithili","मैथिली","14238"
"map-bms","Banyumasan","Basa Banyumasan","13941"
"mdf","Moksha","мокшень","7621"
"mg","Malagasy","Malagasy","102053"
"mh","Marshallese","Ebon","4"
"mhr","Eastern Mari","олык марий","11325"
"mi","Māori","Māori","8027"
"min","Minangkabau","Minangkabau","228825"
"mk","Macedonian","македонски","158410"
"ml","Malayalam","മലയാളം","87689"
"mn","Mongolian","монгол","27007"
"mni","Manipuri","ꯃꯤꯇꯩ ꯂꯣꯟ","10459"
"mnw","Mon","ဘာသာမန်","1973"
