"Data_source","CC0_records","CC0_records_with_CC0_media","Total_objects","CC0_without_media_percentage","CC0_with_media_percentage","Others_percentage"
"Anacostia Community Museum Archives","29044","247","87928","32.75","0.28","66.97"
"Archives Center, National Museum of American History","680572","0","726338","93.7","0.0","6.3"
"Archives of American Art","467814","0","4959240","9.43","0.0","90.57"
"Archives of American Gardens","62996","0","69167","91.08","0.0","8.92"
"Catalog of American Portraits","16169","14608","170946","0.91","8.55","90.54"
"Cooper Hewitt, Smithsonian Design Museum","58619","54606","506273","0.79","10.79","88.42"
"Eliot Elisofon Photographic Archives, National Museum of African Art","128292","0","128292","100.0","0.0","0.0"
"Hirshhorn Museum and Sculpture Garden","449","449","25427","0.0","1.77","98.23"
"Human Studies Film Archives","8476","0","8775","96.59","0.0","3.41"
"NMNH - Anthropology Dept.","497756","0","497756","100.0","0.0","0.0"
"NMNH - Botany Dept.","4567127","3578195","4567127","21.65","78.35","0.0"
"NMNH - Education & Outreach","6473","4090","6473","36.81","63.19","0.0"
"NMNH - Entomology Dept.","737717","197231","737717","73.26","26.74","0.0"
"NMNH - Invertebrate Zoology Dept.","2005005","70783","2005005","96.47","3.53","0.0"
"NMNH - Mineral Sciences Dept.","465356","11311","465356","97.57","2.43","0.0"
"NMNH - Paleobiology Dept.","745987","97201","745987","86.97","13.03","0.0"
"NMNH - Vertebrate Zoology - Birds Division","635288","559105","635288","11.99","88.01","0.0"
"NMNH - Vertebrate Zoology - Fishes Division","502761","10818","502761","97.85","2.15","0.0"
"NMNH - Vertebrate Zoology - Herpetology Division","632082","2359","632082","99.63","0.37","0.0"
"NMNH - Vertebrate Zoology - Mammals Division","626292","545658","630444","12.79","86.55","0.66"
"National Air and Space Museum Archives","486173","989","2566107","18.91","0.04","81.05"
"National Anthropological Archives","246676","0","258104","95.57","0.0","4.43"
"National Museum of African American History and Culture","37771","4578","4401555","0.75","0.1","99.14"
"National Museum of African Art","113","113","128894","0.0","0.09","99.91"
"National Museum of American History","1319548","10775","2920445","44.81","0.37","54.82"
"National Museum of Asian Art","4719","4713","105488","0.01","4.47","95.53"
"National Museum of Asian Art Archives","36847","0","36847","100.0","0.0","0.0"
"National Museum of the American Indian","304448","180","459853","66.17","0.04","33.79"
"National Postal Museum","12898","8571","133632","3.24","6.41","90.35"
"National Postal Museum Archives","1426","0","1426","100.0","0.0","0.0"
"National Zoo","1061","1061","5928","0.0","17.9","82.1"
"Photograph Study Collection, Smithsonian American Art Museum","17275","12987","361941","1.18","3.59","95.23"
"Ralph Rinzler Folklife Archives and Collections","97203","0","98177","99.01","0.0","0.99"
"Smithsonian American Art Museum, Research and Scholars Center","410","0","410","100.0","0.0","0.0"
"Smithsonian Field Book Project","1517","37","11248","13.16","0.33","86.51"
"Smithsonian Gardens","6157","4090","8959","23.07","45.65","31.28"
"Smithsonian Institution Archives","898570","5477","1561849","57.18","0.35","42.47"
"Smithsonian Libraries","1134126","13567","1293727","86.61","1.05","12.34"
"Smithsonian Libraries and Archives","104811","0","104811","100.0","0.0","0.0"
