"Data_source","Total_objects"
"Anacostia Community Museum Archives","18316"
"Archives Center, National Museum of American History","726338"
"Archives of American Art","4959240"
"Archives of American Gardens","69167"
"Catalog of American Portraits","170946"
"Cooper Hewitt, Smithsonian Design Museum","304666"
"Eliot Elisofon Photographic Archives, National Museum of African Art","128292"
"Hirshhorn Museum and Sculpture Garden","25427"
"Human Studies Film Archives","8775"
"NMNH - Anthropology Dept.","497756"
"NMNH - Botany Dept.","4567127"
"NMNH - Education & Outreach","6473"
"NMNH - Entomology Dept.","737717"
"NMNH - Invertebrate Zoology Dept.","2005005"
"NMNH - Mineral Sciences Dept.","465356"
"NMNH - Paleobiology Dept.","745987"
"NMNH - Vertebrate Zoology - Birds Division","635288"
"NMNH - Vertebrate Zoology - Fishes Division","502761"
"NMNH - Vertebrate Zoology - Herpetology Division","632082"
"NMNH - Vertebrate Zoology - Mammals Division","4260"
"National Air and Space Museum Archives","242580"
"National Anthropological Archives","258104"
"National Museum of African American History and Culture","4401555"
"National Museum of African Art","128894"
"National Museum of American History","2920445"
"National Museum of Asian Art","105488"
"National Museum of Asian Art Archives","36847"
"National Museum of the American Indian","33409"
"National Postal Museum","133632"
"National Postal Museum Archives","1426"
"National Zoo","5928"
"Photograph Study Collection, Smithsonian American Art Museum","361941"
"Ralph Rinzler Folklife Archives and Collections","98177"
"Smithsonian American Art Museum, Research and Scholars Center","410"
"Smithsonian Field Book Project","11248"
"Smithsonian Gardens","7522"
"Smithsonian Institution Archives","1561849"
"Smithsonian Libraries","34577"
"Smithsonian Libraries and Archives","104811"
