"TOOL_IDENTIFIER","YEAR","COUNT"
"CC BY 3.0","2008","3"
"CC BY 3.0","2009","878"
"CC BY 3.0","2010","573"
"CC BY 3.0","2011","640"
"CC BY 3.0","2012","899"
"CC BY 3.0","2013","1173"
"CC BY 3.0","2014","1374"
"CC BY 3.0","2015","1816"
"CC BY 3.0","2016","271"
"CC BY 3.0","2017","73"
"CC BY 3.0","2018","43"
"CC BY 3.0","2019","114"
"CC BY 3.0","2020","15"
"CC BY 3.0","2021","7"
"CC BY 3.0","2022","7"
"CC BY 3.0","2023","13"
"CC BY 3.0","2024","6"
"CC BY 3.0","2025","3"
"CC BY 3.0","2026","4"
"CC BY 4.0","2015","571"
"CC BY 4.0","2016","1507"
"CC BY 4.0","2017","2082"
"CC BY 4.0","2018","3895"
"CC BY 4.0","2019","5050"
"CC BY 4.0","2020","10664"
"CC BY 4.0","2021","48072"
"CC BY 4.0","2022","63637"
"CC BY 4.0","2023","78424"
"CC BY 4.0","2024","98024"
"CC BY 4.0","2025","140875"
"CC BY 4.0","2026","55384"
"CC BY-NC-ND 4.0","2020","770"
"CC BY-NC-ND 4.0","2021","9058"
"CC BY-NC-ND 4.0","2022","10767"
"CC BY-NC-ND 4.0","2023","12800"
"CC BY-NC-ND 4.0","2024","16683"
"CC BY-NC-ND 4.0","2025","21849"
"CC BY-NC-ND 4.0","2026","7842"
"CC BY-NC-SA 3.0","2008","29"
"CC BY-NC-SA 3.0","2009","631"
"CC BY-NC-SA 3.0","2010","693"
"CC BY-NC-SA 3.0","2011","552"
"CC BY-NC-SA 3.0","2012","659"
"CC BY-NC-SA 3.0","2013","846"
"CC BY-NC-SA 3.0","2014","991"
"CC BY-NC-SA 3.0","2015","1162"
"CC BY-NC-SA 3.0","2016","114"
"CC BY-NC-SA 3.0","2017","38"
"CC BY-NC-SA 3.0","2018","27"
"CC BY-NC-SA 3.0","2019","73"
"CC BY-NC-SA 3.0","2020","13"
"CC BY-NC-SA 3.0","2021","16"
"CC BY-NC-SA 3.0","2022","10"
"CC BY-NC-SA 3.0","2023","13"
"CC BY-NC-SA 3.0","2024","3"
"CC BY-NC-SA 3.0","2025","1"
"CC BY-NC-SA 3.0","2026","2"
"CC BY-NC-SA 4.0","2015","348"
"CC BY-NC-SA 4.0","2016","837"
"CC BY-NC-SA 4.0","2017","809"
"CC BY-NC-SA 4.0","2018","1583"
"CC BY-NC-SA 4.0","2019","2091"
"CC BY-NC-SA 4.0","2020","3113"
"CC BY-NC-SA 4.0","2021","5552"
"CC BY-NC-SA 4.0","2022","6544"
"CC BY-NC-SA 4.0","2023","8203"
"CC BY-NC-SA 4.0","2024","10892"
"CC BY-NC-SA 4.0","2025","14775"
"CC BY-NC-SA 4.0","2026","5098"
"CC BY-SA 4.0","2015","102"
"CC BY-SA 4.0","2016","300"
"CC BY-SA 4.0","2017","304"
"CC BY-SA 4.0","2018","538"
"CC BY-SA 4.0","2019","699"
"CC BY-SA 4.0","2020","1031"
"CC BY-SA 4.0","2021","2569"
"CC BY-SA 4.0","2022","3138"
"CC BY-SA 4.0","2023","3901"
"CC BY-SA 4.0","2024","5263"
"CC BY-SA 4.0","2025","7085"
"CC BY-SA 4.0","2026","2594"
"CC0 1.0","2015","143"
"CC0 1.0","2016","374"
"CC0 1.0","2017","378"
"CC0 1.0","2018","630"
"CC0 1.0","2019","761"
"CC0 1.0","2020","1126"
"CC0 1.0","2021","2408"
"CC0 1.0","2022","2722"
"CC0 1.0","2023","3005"
"CC0 1.0","2024","3338"
"CC0 1.0","2025","3954"
"CC0 1.0","2026","1285"
