"UNIT_CODE","DATA_SOURCE","CC0_RECORDS","CC0_RECORDS_WITH_CC0_MEDIA","TOTAL_OBJECTS"
"AAA","Archives of American Art","472604","0","5018736"
"AAG","Archives of American Gardens","63001","0","69180"
"ACAH","Archives Center, National Museum of American History","680843","0","724974"
"ACM","Anacostia Community Museum Archives","14822","247","71494"
"ACMA","Anacostia Community Museum Archives","14572","0","18375"
"CFCHFOLKLIFE","Ralph Rinzler Folklife Archives and Collections","97225","0","98199"
"CHNDM","Cooper Hewitt, Smithsonian Design Museum","58174","54606","201615"
"CHSDM","Cooper Hewitt, Smithsonian Design Museum","445","0","305273"
"EEPA","Eliot Elisofon Photographic Archives, National Museum of African Art","128451","0","128451"
"FBR","Smithsonian Field Book Project","1517","37","11248"
"FSA","National Museum of Asian Art Archives","36845","0","36845"
"FSG","National Museum of Asian Art","4719","4711","105554"
"HAC","Smithsonian Gardens","430","430","1437"
"HMSG","Hirshhorn Museum and Sculpture Garden","449","449","25458"
"HSFA","Human Studies Film Archives","8476","0","8775"
"NAA","National Anthropological Archives","246937","0","258320"
"NASM","National Air and Space Museum Archives","248179","989","2327670"
"NASMAC","National Air and Space Museum Archives","247166","0","247166"
"NMAA","National Museum of Asian Art","42590","9349","4505639"
"NMAAHC","National Museum of African American History and Culture","37871","4638","4395571"
"NMAH","National Museum of American History","1319605","10843","2921458"
"NMAI","National Museum of the American Indian","271244","180","426369"
"NMAIA","National Museum of the American Indian","33609","0","33609"
"NMAfA","National Museum of African Art","113","113","128895"
"NMNHANTHRO","NMNH - Anthropology Dept.","497756","0","497756"
"NMNHBIRDS","NMNH - Vertebrate Zoology - Birds Division","635283","559102","635283"
"NMNHBOTANY","NMNH - Botany Dept.","4567230","3578495","4567230"
"NMNHEDUCATION","NMNH - Education & Outreach","6473","4090","6473"
"NMNHENTO","NMNH - Entomology Dept.","750550","197230","750550"
"NMNHFISHES","NMNH - Vertebrate Zoology - Fishes Division","502849","10818","502849"
"NMNHHERPS","NMNH - Vertebrate Zoology - Herpetology Division","632073","2359","632073"
"NMNHINV","NMNH - Invertebrate Zoology Dept.","2015174","71252","2015174"
"NMNHMAMMALS","NMNH - Vertebrate Zoology - Mammals Division","626189","542053","626189"
"NMNHMINSCI","NMNH - Mineral Sciences Dept.","465434","11311","465434"
"NMNHPALEO","NMNH - Paleobiology Dept.","746008","97201","746008"
"NPG","Catalog of American Portraits","16170","14627","171083"
"NPM","National Postal Museum","12898","8573","134822"
"NPMA","National Postal Museum Archives","1426","0","1426"
"NZP","National Zoo","1061","1061","5931"
"OCIO_DPO3D","NMNH - Vertebrate Zoology - Mammals Division","108","3606","4263"
"OFEO-SG","Smithsonian Gardens","5727","3660","7522"
"SAAM","Photograph Study Collection, Smithsonian American Art Museum","17275","12987","362193"
"SAAMPAIK","Smithsonian American Art Museum, Research and Scholars Center","410","0","410"
"SIA","Smithsonian Institution Archives","898570","5477","1558296"
"SIL","Smithsonian Libraries","1036355","13567","1195939"
"SILAF","Smithsonian Libraries","63416","0","63416"
"SILNMAHTL","Smithsonian Libraries","34577","0","34577"
"SLA_SRO","Smithsonian Libraries and Archives","104811","0","104811"
