IA_LICENSE_URL,NORMALIZED_LICENSE
http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
https://creativecommons.org/licenses/by/4.0/,CC BY 4.0
http://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0
http://creativecommons.org/licenses/by-nc/4.0/,CC BY-NC 4.0
https://creativecommons.org/licenses/by-nc/4.0/,CC BY-NC 4.0
http://creativecommons.org/licenses/by-nc-sa/4.0/,CC BY-NC-SA 4.0
https://creativecommons.org/licenses/by-nc-sa/4.0/,CC BY-NC-SA 4.0
http://creativecommons.org/licenses/by-nd/4.0/,CC BY-ND 4.0
https://creativecommons.org/licenses/by-nd/4.0/,CC BY-ND 4.0
http://creativecommons.org/licenses/by-nc-nd/4.0/,CC BY-NC-ND 4.0
https://creativecommons.org/licenses/by-nc-nd/4.0/,CC BY-NC-ND 4.0
http://creativecommons.org/licenses/by/3.0/,CC BY 3.0
https://creativecommons.org/licenses/by/3.0/,CC BY 3.0
http://creativecommons.org/licenses/by-sa/3.0/,CC BY-SA 3.0
https://creativecommons.org/licenses/by-sa/3.0/,CC BY-SA 3.0
http://creativecommons.org/licenses/by-nc/3.0/,CC BY-NC 3.0
https://creativecommons.org/licenses/by-nc/3.0/,CC BY-NC 3.0
http://creativecommons.org/licenses/by-nc-sa/3.0/,CC BY-NC-SA 3.0
https://creativecommons.org/licenses/by-nc-sa/3.0/,CC BY-NC-SA 3.0
http://creativecommons.org/licenses/by-nd/3.0/,CC BY-ND 3.0
https://creativecommons.org/licenses/by-nd/3.0/,CC BY-ND 3.0
http://creativecommons.org/licenses/by-nc-nd/3.0/,CC BY-NC-ND 3.0
https://creativecommons.org/licenses/by-nc-nd/3.0/,CC BY-NC-ND 3.0
http://creativecommons.org/licenses/by/2.5/,CC BY 2.5
https://creativecommons.org/licenses/by/2.5/,CC BY 2.5
http://creativecommons.org/licenses/by-sa/2.5/,CC BY-SA 2.5
https://creativecommons.org/licenses/by-sa/2.5/,CC BY-SA 2.5
http://creativecommons.org/licenses/by-nc/2.5/,CC BY-NC 2.5
https://creativecommons.org/licenses/by-nc/2.5/,CC BY-NC 2.5
http://creativecommons.org/licenses/by-nc-sa/2.5/,CC BY-NC-SA 2.5
https://creativecommons.org/licenses/by-nc-sa/2.5/,CC BY-NC-SA 2.5
http://creativecommons.org/licenses/by-nd/2.5/,CC BY-ND 2.5
https://creativecommons.org/licenses/by-nd/2.5/,CC BY-ND 2.5
http://creativecommons.org/licenses/by-nc-nd/2.5/,CC BY-NC-ND 2.5
https://creativecommons.org/licenses/by-nc-nd/2.5/,CC BY-NC-ND 2.5
http://creativecommons.org/licenses/by/2.1/,CC BY 2.1
https://creativecommons.org/licenses/by/2.1/,CC BY 2.1
http://creativecommons.org/licenses/by-sa/2.1/,CC BY-SA 2.1
https://creativecommons.org/licenses/by-sa/2.1/,CC BY-SA 2.1
http://creativecommons.org/licenses/by-nc/2.1/,CC BY-NC 2.1
https://creativecommons.org/licenses/by-nc/2.1/,CC BY-NC 2.1
http://creativecommons.org/licenses/by-nc-sa/2.1/,CC BY-NC-SA 2.1
https://creativecommons.org/licenses/by-nc-sa/2.1/,CC BY-NC-SA 2.1
http://creativecommons.org/licenses/by-nd/2.1/,CC BY-ND 2.1
https://creativecommons.org/licenses/by-nd/2.1/,CC BY-ND 2.1
http://creativecommons.org/licenses/by-nc-nd/2.1/,CC BY-NC-ND 2.1
https://creativecommons.org/licenses/by-nc-nd/2.1/,CC BY-NC-ND 2.1
http://creativecommons.org/licenses/by/2.0/,CC BY 2.0
https://creativecommons.org/licenses/by/2.0/,CC BY 2.0
http://creativecommons.org/licenses/by-sa/2.0/,CC BY-SA 2.0
https://creativecommons.org/licenses/by-sa/2.0/,CC BY-SA 2.0
http://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0
https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0
http://creativecommons.org/licenses/by-nc-sa/2.0/,CC BY-NC-SA 2.0
https://creativecommons.org/licenses/by-nc-sa/2.0/,CC BY-NC-SA 2.0
http://creativecommons.org/licenses/by-nd/2.0/,CC BY-ND 2.0
https://creativecommons.org/licenses/by-nd/2.0/,CC BY-ND 2.0
http://creativecommons.org/licenses/by-nc-nd/2.0/,CC BY-NC-ND 2.0
https://creativecommons.org/licenses/by-nc-nd/2.0/,CC BY-NC-ND 2.0
http://creativecommons.org/licenses/by/1.0/,CC BY 1.0
https://creativecommons.org/licenses/by/1.0/,CC BY 1.0
http://creativecommons.org/licenses/by-sa/1.0/,CC BY-SA 1.0
https://creativecommons.org/licenses/by-sa/1.0/,CC BY-SA 1.0
http://creativecommons.org/licenses/by-nc/1.0/,CC BY-NC 1.0
https://creativecommons.org/licenses/by-nc/1.0/,CC BY-NC 1.0
http://creativecommons.org/licenses/by-nc-sa/1.0/,CC BY-NC-SA 1.0
https://creativecommons.org/licenses/by-nc-sa/1.0/,CC BY-NC-SA 1.0
http://creativecommons.org/licenses/by-nd/1.0/,CC BY-ND 1.0
https://creativecommons.org/licenses/by-nd/1.0/,CC BY-ND 1.0
http://creativecommons.org/licenses/by-nc-nd/1.0/,CC BY-NC-ND 1.0
https://creativecommons.org/licenses/by-nc-nd/1.0/,CC BY-NC-ND 1.0
http://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0
https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0
http://creativecommons.org/publicdomain/mark/1.0/,PDM 1.0
https://creativecommons.org/publicdomain/mark/1.0/,PDM 1.0
http://www.gnu.org/licenses/gpl-3.0.html,GPL-3.0
https://www.gnu.org/licenses/gpl-3.0.html,GPL-3.0
http://www.gnu.org/licenses/agpl-3.0.html,AGPL-3.0
https://www.gnu.org/licenses/agpl-3.0.html,AGPL-3.0
http://www.gnu.org/licenses/lgpl-3.0.html,LGPL-3.0
https://www.gnu.org/licenses/lgpl-3.0.html,LGPL-3.0
http://www.gnu.org/licenses/gpl-2.0.html,GPL-2.0
https://www.gnu.org/licenses/gpl-2.0.html,GPL-2.0
http://www.gnu.org/licenses/lgpl-2.1.html,LGPL-2.1
https://www.gnu.org/licenses/lgpl-2.1.html,LGPL-2.1
http://opensource.org/licenses/MIT,MIT
https://opensource.org/licenses/MIT,MIT
http://opensource.org/licenses/Apache-2.0,Apache-2.0
https://opensource.org/licenses/Apache-2.0,Apache-2.0
http://opensource.org/licenses/BSD-3-Clause,BSD-3-Clause
https://opensource.org/licenses/BSD-3-Clause,BSD-3-Clause
http://opensource.org/licenses/BSD-2-Clause,BSD-2-Clause
https://opensource.org/licenses/BSD-2-Clause,BSD-2-Clause
http://opensource.org/licenses/ISC,ISC
https://opensource.org/licenses/ISC,ISC
http://opensource.org/licenses/Unlicense,Unlicense
https://opensource.org/licenses/Unlicense,Unlicense
http://www.opensource.org/licenses/Artistic-2.0,Artistic-2.0
https://www.opensource.org/licenses/Artistic-2.0,Artistic-2.0
http://www.opensource.org/licenses/MPL-2.0,MPL-2.0
https://www.opensource.org/licenses/MPL-2.0,MPL-2.0
http://www.opensource.org/licenses/EPL-2.0,EPL-2.0
https://www.opensource.org/licenses/EPL-2.0,EPL-2.0
http://www.opensource.org/licenses/CPL-1.0,CPL-1.0
https://www.opensource.org/licenses/CPL-1.0,CPL-1.0

