LICENSE TYPE,No Priori,Australia,Brazil,Canada,Egypt,Germany,India,Japan,Spain,United Kingdom,United States,Arabic,Chinese (Simplified),Chinese (Traditional),English,French,Indonesian,Portuguese,Spanish,
all,480000000,411000,1190000,598000,27600,8590000,228000,215000,253000,12100000,356000000,243000,193000,140000,393000000,952000,346000,5900000,18300000,
licenses/GPL/2.0/,66500,88,307,72,2,4010,23,106,969,1010,37200,758,429,139,51500,2370,127,1410,3510,
licenses/by-nc-nd/2.0/,19000000,11500,4150,5530,262,57300,3530,9180,14000,64300,10100000,1370,3890,384,22400000,105000,3410,22100,68500,
licenses/by-nc-nd/2.5/,26800000,17800,4680,16500,316,53800,4700,10300,16100,70300,14900000,527,3110,497,26400000,55600,1430,16400,166000,
licenses/by-nc-nd/3.0/,29400000,23300,15500,7270,901,71600,4510,25400,22900,65800,14200000,1650,5920,1140,23500000,180000,3540,141000,148000,
licenses/by-nc-nd/4.0/,75200000,28200,33400,22000,683,185000,15700,54600,39700,189000,50300000,2530,15600,6100,77900000,286000,20300,95800,252000,
licenses/by-nc-sa/1.0/,4240000,7100,3760,2290,84,29400,1080,3120,6070,24300,407000,284,3750,91,3880000,53800,1880,15200,13500,
licenses/by-nc-sa/2.0/,2570000,6090,2680,2840,105,31200,1550,3310,8510,26600,367000,394,2200,248,1350000,89300,1930,23900,37600,
licenses/by-nc-sa/2.5/,8120000,8730,3390,7210,140,26800,1910,2970,8610,36100,424000,211,1400,136,6810000,50700,668,16500,105000,
licenses/by-nc-sa/3.0/,6060000,10200,6040,3730,477,48000,2340,3820,9900,35500,758000,1470,4050,539,3550000,155000,1610,135000,128000,
licenses/by-nc-sa/4.0/,32200000,11800,8050,6750,438,57800,4760,14200,16200,60300,17400000,700,5630,502,29000000,260000,11200,82800,206000,
licenses/by-nc/2.0/,18600000,9370,4030,5330,343,63700,2920,10700,14900,63600,8290000,1340,3930,749,18200000,98200,5800,28600,59300,
licenses/by-nc/2.5/,29100000,16100,7350,17800,227,64400,4830,12000,15600,83500,15000000,498,3690,1130,29300000,51900,1420,18700,206000,
licenses/by-nc/3.0/,22700000,19000,59900,7220,686,87600,4310,24400,21000,65800,12100000,2320,5680,1540,20800000,171000,2790,105000,422000,
licenses/by-nc/4.0/,78200000,29700,125000,19800,837,159000,15000,49600,38900,174000,53500000,2340,15300,6590,70800000,292000,23400,195000,320000,
licenses/by-nd-nc/1.0/,25400000,12400,4100,4720,119,61500,2770,12100,11800,57500,17300000,604,6380,330,23400000,42900,3570,12700,21700,
licenses/by-nd/2.0/,72700000,36100,9600,12600,1270,254000,15300,16100,32800,155000,53000000,10100,12300,7580,70300000,80300,21700,54500,253000,
licenses/by-nd/2.5/,71000000,59800,10100,22500,659,177000,10900,17500,22400,155000,56100000,5730,13200,5330,66000000,58600,9330,29800,262000,
licenses/by-nd/3.0/,76200000,67000,30400,16600,7080,267000,17900,38900,38200,157000,65200000,25300,112000,21700,75000000,152000,56700,344000,782000,
licenses/by-nd/4.0/,215000000,109000,64100,40800,10900,1580000,46800,95100,80900,563000,181000000,21300,54800,33500,227000000,275000,106000,220000,689000,
licenses/by-sa/2.0/,31000000,15400,5670,7140,549,250000,5150,6270,16400,58300,27700000,5520,7920,3600,29000000,143000,13000,61700,184000,
licenses/by-sa/2.5/,32300000,31300,5260,9320,501,68600,4030,4530,13900,63800,25200000,4000,6670,3420,29500000,83100,3700,32400,208000,
licenses/by-sa/3.0/,46800000,23300,11400,9130,2920,518000,10800,10800,22500,59500,40500000,20100,82700,15500,40000000,230000,28600,369000,1710000,
licenses/by-sa/4.0/,97300000,33300,17200,15100,1840,890000,12100,21800,34700,126000,76200000,13700,28200,15900,90500000,335000,46600,177000,1650000,
licenses/by/1.0/,73000000,32900,10800,12000,637,223000,7380,16400,16700,140000,61800000,5540,16400,4050,74800000,94000,11500,29400,133000,
licenses/by/2.0/,74900000,30800,12500,13300,1480,381000,14100,21600,34200,141000,55100000,7820,14600,8190,69100000,155000,30100,105000,313000,
licenses/by/2.5/,68300000,55000,10500,20300,1040,173000,10800,15600,21400,135000,55300000,6940,12500,5480,63400000,94000,8810,37700,308000,
licenses/by/3.0/,77100000,56800,65000,16200,8840,992000,19000,39300,44500,144000,72600000,32700,109000,27900,68900000,4570000,64500,660000,10800000,
licenses/by/4.0/,221000000,99900,164000,41100,14700,4010000,46400,90900,75800,505000,183000000,24400,67000,43300,215000000,399000,109000,339000,4160000,
licenses/sampling+/1.0/,52600000,20800,4600,8310,157,171000,4480,8590,8870,101000,45200000,306,2460,53,56600000,6920,2160,4980,12900,
publicdomain/mark/1.0/,19200000,3350,830,2490,4,50100,266,5820,2280,26000,17000000,5030,10700,4910,16300000,78800,3140,26900,87000,
publicdomain/zero/1.0/,39400000,12800,2120,5810,5,141000,1990,5830,2860,49800,35100000,6240,10300,6010,42300000,63300,4880,23500,84200,
licenses/by-nc-nd/2.1/,24100000,17500,4900,5260,334,67400,1800,16700,15700,64000,15200000,436,6850,645,24100000,47300,1970,16900,41700,
licenses/by-nc-sa/2.1/,7910000,10300,2870,3150,147,27900,1030,6230,10500,32600,411000,297,2900,162,6970000,38400,1000,16500,34500,
licenses/by-nc/2.1/,26300000,14500,4890,4550,212,59300,2160,13700,14600,73700,16000000,686,6640,588,25800000,43500,1650,19100,50700,
licenses/by-nd/2.1/,66300000,48800,10300,8430,740,199000,10100,20900,26500,147000,43300000,3460,16000,3230,71000000,43800,6830,26500,103000,
licenses/by-sa/2.1/,37500000,22300,6350,5030,261,71900,3880,10000,14900,64400,19900000,1350,6210,760,32500000,42200,3530,22900,56200,
licenses/by/2.1/,62800000,40600,8780,8780,548,146000,7160,28700,25900,152000,44100000,5240,19000,2880,64200000,47400,8560,26500,94100,
licenses/by-nd-nc/2.0,21800000,11300,4700,6790,155,71600,3240,11200,16800,69800,7540000,2250,5220,791,18400000,70100,2440,24600,126000,
licenses/devnations/2.0,222,1,0,0,0,0,0,0,0,1,39,0,0,0,82,4,0,2,13,
licenses/nc/2.0,20300000,11000,5260,6700,222,60200,3050,8360,15900,61200,7490000,1670,4840,754,19200000,133000,3310,85300,108000,
licenses/nc-sa/2.0,2370000,5790,2080,3790,184,34100,1110,3040,8720,27600,324000,630,2250,346,1920000,115000,2190,68400,59100,
licenses/nd/2.0,74300000,34700,11900,17000,791,227000,19700,20000,31200,174000,53200000,11400,15100,8610,71000000,111000,21600,75600,324000,
licenses/nd-nc/2.0,24000000,11900,5400,7650,121,64900,3220,9950,17200,62700,9190000,1490,4750,481,21500000,65000,2950,23600,97600,
licenses/sa/2.0,32300000,16300,5190,6720,308,214000,5330,5970,17000,62900,27100000,6130,7870,3970,28400000,151000,9830,79700,192000,
licenses/by-nc/1.0,30400000,12400,4340,5570,118,66900,3150,13000,11000,56900,17600000,1610,6970,298,30000000,76200,3430,15800,28300,
licenses/by-nd/1.0,81700000,36000,8520,13700,492,257000,9400,21400,19100,150000,68500000,7570,18300,3710,77500000,64000,12800,27400,112000,
licenses/by-sa/1.0,41500000,18200,4950,6410,208,107000,3970,5290,12400,66500,35200000,3850,8490,3140,36000000,103000,7010,28200,122000,
licenses/nc/1.0,25700000,12100,3570,5670,217,61900,3330,10700,11300,57200,17500000,1330,5900,273,26000000,65100,3600,25400,30800,
licenses/nc-sa/1.0,7450000,7390,2710,3210,84,34900,1050,3770,7430,30400,485000,289,4240,55,6310000,58000,2410,23700,17800,
licenses/nc-sampling+/1.0,20800000,9210,1790,3860,92,48300,1310,6340,5430,40200,11100000,18,1100,20,21100000,7160,982,5530,9390,
licenses/nd/1.0,85600000,45000,9810,15800,458,238000,11300,21300,22500,158000,86400000,9600,17700,4240,80600000,58100,10400,25700,109000,
