LICENSE TYPE,No Priori,Australia,Brazil,Canada,Egypt,Germany,India,Japan,Spain,United Kingdom,United States,Arabic,Chinese (Simplified),Chinese (Traditional),English,French,Indonesian,Portuguese,Spanish
all,502000000,287000,1250000,491000,15100,7980000,249000,122000,258000,12300000,439000000,288000,550000000,550000000,446000000,1120000,330000,5990000,18400000
licenses/by/1.0,87300000,33600,8290,12700,376,230000,9540,15800,18400,136000,62300000,7270,87300000,87300000,85700000,105000,10100,29300,118000
licenses/by-nc/1.0,25300000,12100,3260,5850,142,66800,3000,10800,10800,54900,16000000,1750,24100000,24100000,27300000,69800,3800,17600,28000
licenses/by-nc-sa/1.0,7140000,5810,1860,3070,100,29300,1340,3000,6050,26100,454000,266,7220000,7220000,6670000,51200,1910,15800,17800
licenses/by-nd/1.0,99100000,38200,7990,13300,443,248000,10100,20400,22800,171000,72800000,7650,92900000,92900000,87700000,76400,10100,26100,112000
licenses/by-nd-nc/1.0,32500000,12100,3410,5040,294,64800,3540,11400,10700,56200,18200000,1400,27400000,27400000,27600000,45300,3220,15000,27900
licenses/by-sa/1.0,42000000,17100,3830,5720,227,99500,4980,5260,10200,59100,28500000,3640,38300000,38300000,36700000,93400,5910,30300,88800
licenses/nc/1.0,26000000,10700,3290,5340,139,58600,3780,11300,10700,56300,20000000,1930,25200000,28700000,25800000,66800,3430,25900,28600
licenses/nc-sa/1.0,7800000,6510,2400,2660,97,32000,1340,3190,6200,26600,524000,258,7300000,7300000,7210000,55200,2110,23400,17200
licenses/nc-sampling+/1.0,2110,6,1,3,0,7,1,5,3,33,575,0,2110,2110,2080,3,0,3,1
licenses/nd/1.0,110000000,37200,11500,16500,887,248000,11400,17600,19800,166000,75100000,7350,94200000,88800000,105000000,55500,11000,22900,103000
licenses/nd-nc/1.0,26600000,11600,3140,5200,335,67100,3360,11000,11700,55300,19100000,1530,25900000,25900000,26000000,42100,2860,15000,25900
licenses/sa/1.0,43100000,17800,4160,7170,219,110000,4160,5070,11100,64000,30100000,3740,40200000,40200000,41200000,87000,5420,26800,92300
licenses/sampling/1.0,61200000,24000,4160,8510,317,169000,5320,8970,9130,105000,48100000,959,62300000,62300000,63100000,9950,2570,6590,15300
licenses/sampling+/1.0,5930,7,1,6,0,59,2,6,3,73,1450,0,5890,5890,5230,3,0,3,2
licenses/by/2.0,65700000,32000,10700,12000,597,309000,15900,16400,35800,142000,46000000,11400,66900000,66900000,56000000,156000,21300,89400,279000
licenses/by-nc/2.0,20700000,10600,5630,6730,129,55600,2490,8470,13200,54400,9640000,1470,19000000,19000000,18100000,113000,3740,30200,79300
licenses/by-nc-nd/2.0,20600000,11400,5210,7540,253,51300,2320,9480,15800,55200,9000000,1520,20900000,20900000,18800000,102000,3100,23000,84500
licenses/by-nc-sa/2.0,2750000,6310,1960,4100,190,29100,1680,2790,8080,26300,372000,691,2790000,2790000,2380000,95100,2280,24200,33300
licenses/by-nd/2.0,70300000,32100,12600,13400,722,230000,16300,15600,23700,151000,50400000,10500,67600000,67600000,68200000,102000,18700,54000,221000
licenses/by-nd-nc/2.0,21000000,11400,5030,5310,218,51200,2420,8680,14300,58900,8630000,2150,19700000,19700000,17800000,70400,2690,23200,79800
licenses/by-sa/2.0,32200000,15400,4540,7010,552,189000,5790,5180,21700,66100,22900000,5500,32300000,32300000,31500000,147000,10000,53900,157000
licenses/devnations/2.0,62,1,0,0,0,0,0,0,0,1,62,0,67,67,125,5,1,1,50
licenses/nc/2.0,19800000,10600,5010,5930,278,54000,2280,9470,14400,50700,9190000,1690,19700000,19700000,18900000,109000,4060,79400,73800
licenses/nc-sa/2.0,2640000,5880,1940,3070,100,28200,999,2440,7380,25900,344000,452,2760000,2760000,2130000,91400,1850,67900,33300
licenses/nd/2.0,75700000,33400,9870,16500,538,250000,17800,16700,28300,166000,50900000,11400,64800000,64800000,68400000,98800,21300,65300,234000
licenses/nd-nc/2.0,22400000,11800,5110,6340,130,63300,2320,9670,17400,66400,10200000,1930,22600000,22600000,23100000,71200,3710,23900,76500
licenses/sa/2.0,34200000,14800,4200,6720,264,198000,6460,5130,22100,59900,26200000,6910,30800000,30800000,28700000,143000,10500,85100,153000
licenses/by/2.1,63900000,38300,7690,8910,607,158000,8320,22600,25200,139000,44100000,5240,67200000,67200000,58200000,51900,9810,31500,93100
licenses/by-nc/2.1,26400000,15400,3900,5020,393,65500,2790,13400,16000,67800,14800000,977,28300000,28300000,22900000,45600,1930,19900,47600
licenses/by-nc-nd/2.1,25400000,19100,3940,5380,240,68700,2740,13200,17000,78800,14300000,688,24200000,24200000,22400000,55300,2380,16100,49200
licenses/by-nc-sa/2.1,8360000,10200,2670,3740,162,27800,1180,6900,10500,33100,408000,273,8730000,8730000,8510000,39400,1050,16900,35500
licenses/by-nd/2.1,70000000,40600,7510,11600,495,174000,10100,19000,27000,153000,41500000,5880,69200000,69200000,70000000,46300,8110,27900,85200
licenses/by-sa/2.1,32400000,21800,4350,5440,293,69500,3930,8090,15600,61300,22400000,1760,35500000,35500000,32100000,40300,3700,27800,53800
licenses/by/2.5,80100000,55400,8540,22300,582,176000,10200,16100,23500,161000,65000000,8940,84700000,84700000,77000000,98300,9970,40200,311000
licenses/by-nc/2.5,26100000,15200,3880,15000,217,53500,3040,10100,13800,68100,13600000,1050,27400000,27400000,24200000,56400,1720,21700,151000
licenses/by-nc-nd/2.5,27000000,17200,4330,17400,386,61600,2940,10300,18200,75600,16200000,1020,38400000,38400000,33200000,56100,2000,19300,168000
licenses/by-nc-sa/2.5,8000000,9250,2230,7880,194,28200,1570,2990,8480,33600,512000,356,8090000,8090000,7250000,50600,837,16900,81100
licenses/by-nd/2.5,89000000,58600,8490,21300,615,176000,10600,14700,25900,170000,58000000,7530,83100000,83100000,81700000,60300,9530,37000,236000
licenses/by-sa/2.5,32100000,27400,4090,9610,342,74200,4540,4820,13300,72200,25300000,5660,32700000,32700000,33400000,82900,3470,31100,156000
licenses/by/3.0,78100000,66800,74300,18100,4060,570000,21800,37900,54600,173000,69100000,43500,81500000,81500000,73000000,4910000,54200,770000,9760000
licenses/by-nc/3.0,23000000,21300,53700,8800,468,73900,4060,25500,24700,63100,12400000,4100,22600000,22600000,22400000,150000,3350,97000,447000
licenses/by-nc-nd/3.0,26000000,21200,14600,7650,686,73200,5140,24800,22000,64400,15000000,3170,25000000,25000000,23700000,174000,3520,145000,120000
licenses/by-nc-sa/3.0,6920000,12100,4720,4290,440,42500,2100,3430,12200,32300,797000,2100,6340000,6340000,4690000,142000,1900,140000,119000
licenses/by-nd/3.0,90000000,66000,28100,17500,3500,253000,22000,35700,38700,156000,62400000,31900,86700000,86700000,80600000,133000,60800,334000,577000
licenses/by-sa/3.0,45500000,27400,7400,9270,1440,364000,12500,8770,28400,61900,36700000,23600,48000000,48000000,38800000,225000,25700,357000,773000
licenses/by/4.0,227000000,117000,138000,38600,6230,2030000,50000,76100,91100,513000,178000000,41000,234000000,234000000,220000000,426000,93200,303000,2680000
licenses/by-nc/4.0,90300000,28800,118000,25400,959,163000,13600,47000,39500,199000,50900000,8410,80500000,80500000,68700000,339000,26000,203000,330000
licenses/by-nc-nd/4.0,88600000,28900,46400,24600,790,181000,15800,49100,42800,181000,56600000,8140,76300000,76300000,71500000,368000,27600,131000,278000
licenses/by-nc-sa/4.0,31100000,12300,7270,7080,280,62100,4000,14200,17100,57500,17600000,1930,30700000,30700000,28800000,284000,13500,95000,269000
licenses/by-nd/4.0,213000000,110000,69300,41700,4440,971000,49200,77400,65900,524000,216000000,34200,234000000,234000000,239000000,301000,91700,222000,765000
licenses/by-sa/4.0,124000000,37100,16300,16000,1170,393000,16000,22000,48100,166000,91300000,16500,124000000,124000000,115000000,348000,49800,200000,1600000
publicdomain/mark/1.0,17400000,2780,523,2100,5,44000,432,5940,2710,25900,16900000,4520,17500000,17500000,15800000,84100,3120,25200,65500
publicdomain/zero/1.0,39200000,10100,1770,5400,8,115000,2230,5520,2980,46400,31600000,6310,37300000,37300000,34700000,56700,3100,21900,60900
