LICENSE TYPE,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114
all,781000000,27100000,57000000,99000000,154000000,202000000,249000000,295000000,341000000,362000000,387000000,430000000,467000000,504000000,482000000,499000000,517000000,519000000,582000000,525000000
licenses/by/1.0,82700000,209000,4140000,12300000,16000000,20500000,29800000,34200000,39500000,48000000,56000000,53900000,58000000,62900000,61300000,65400000,61400000,71400000,64000000,68400000
licenses/by-nc/1.0,27200000,59900,151000,211000,373000,397000,11300000,12900000,12700000,14600000,17400000,20500000,17900000,16800000,19600000,22100000,19100000,18300000,19300000,20300000
licenses/by-nc-sa/1.0,7450000,26900,56100,90300,121000,162000,182000,203000,224000,244000,273000,258000,274000,291000,295000,301000,288000,303000,307000,308000
licenses/by-nd/1.0,102000000,248000,5450000,13400000,18400000,27600000,34000000,40400000,50800000,52000000,61200000,81000000,82700000,72100000,74400000,68500000,65800000,68300000,95400000,73100000
licenses/by-nd-nc/1.0,30200000,69900,132000,245000,323000,466000,11500000,12900000,12700000,16200000,17300000,17300000,19700000,21400000,20400000,20900000,17700000,22600000,19500000,24300000
licenses/by-sa/1.0,44700000,105000,217000,349000,9520000,11500000,15700000,17300000,19800000,22700000,23600000,25800000,28300000,30200000,28000000,29900000,31900000,29300000,29500000,32500000
licenses/nc/1.0,26900000,63500,124000,227000,296000,390000,9550000,12300000,13000000,15700000,17100000,17900000,20500000,18200000,17800000,19700000,17500000,18100000,18500000,18600000
licenses/nc-sa/1.0,8060000,27600,55600,94900,139000,173000,191000,221000,241000,252000,273000,273000,281000,298000,303000,295000,323000,310000,328000,301000
licenses/nc-sampling+/1.0,2700,60,110,269,409,337,414,332,509,778,506,449,491,512,596,780,598,496,501,769
licenses/nd/1.0,101000000,266000,5680000,14100000,20400000,27500000,38800000,40800000,45400000,68500000,64100000,71300000,74500000,69400000,79200000,72500000,75900000,74500000,83100000,85700000
licenses/nd-nc/1.0,32900000,68200,130000,245000,380000,427000,12900000,12600000,13000000,16500000,17000000,19100000,20700000,20700000,19800000,20500000,19500000,21900000,20900000,23500000
licenses/sa/1.0,38500000,110000,211000,322000,8680000,11500000,13800000,16000000,17900000,21000000,22800000,25900000,25700000,26000000,29300000,26000000,27400000,28000000,29800000,27500000
licenses/sampling/1.0,63600000,141000,315000,10500000,14000000,17300000,22200000,30000000,33300000,37800000,41900000,45100000,47800000,46800000,47500000,53200000,50900000,57700000,49400000,50500000
licenses/sampling+/1.0,5420,358,521,626,718,1060,957,1360,1300,1400,1420,1620,1560,1580,1680,1390,1670,1510,1410,2030
licenses/by/2.0,74200000,234000,3860000,11600000,14600000,19000000,22100000,25500000,32100000,33600000,35200000,42800000,42700000,43600000,47200000,41500000,41700000,45100000,48600000,48200000
licenses/by-nc/2.0,21900000,58700,122000,188000,230000,315000,337000,464000,2060000,9690000,11500000,11500000,16500000,13900000,12100000,14200000,13900000,13400000,13500000,13500000
licenses/by-nc-nd/2.0,23300000,50900,110000,223000,268000,330000,399000,462000,1910000,9970000,12900000,13500000,11000000,12600000,13600000,13000000,15300000,13900000,12800000,13400000
licenses/by-nc-sa/2.0,2920000,21300,43000,82100,104000,118000,154000,154000,170000,188000,232000,209000,224000,210000,231000,218000,227000,217000,227000,254000
