,Unnamed: 0,location,dates,license,description,tags,views,comments,text_final
3537,5,"Cascais, Portugal",2020-10-14 15:35:00,1.0,"['colorida', 'art', 'gallery', 'opening', 'at', 'october', '10', '2020']",[],0.0,0.0,"['colorida', 'art', 'gallery', 'opening', 'october']"
3545,13,"Corvallis, Oregon, USA",2022-10-04 19:24:03,1.0,"['pan-fired', 'oysters', 'from', 'oregon', 'oyster', 'farms', 'are', 'served', 'with', 'dulse', 'from', 'oregon', 'seaweed', 'at', 'an', 'aquaculture', 'conference', 'in', 'salem', ',', 'oregon', '.', '(', 'photo', 'by', 'sam', 'chan', ')']","['Oregon Sea Grant', 'oysters', 'dulse', 'aquaculture']",33.0,0.0,"['oyster', 'oregon', 'oyster', 'farm', 'serve', 'dulse', 'oregon', 'seaweed', 'aquaculture', 'conference', 'salem', 'oregon', 'photo', 'sam', 'chan']"
3550,18,"Seattle, WA, United States",2022-09-24 16:46:01,1.0,"['plitvice', 'lakes', '.', 'schematic', 'layout', 'of', 'the', 'lakes', 'and', 'the', 'tufa', 'barriers', 'between', 'them', '.', 'the', 'trails', 'essentially', 'go', 'up', 'and', 'down', 'the', 'canyon', 'where', 'the', 'lakes', 'are', 'formed', 'by', 'the', 'travertine', 'dams', 'built', 'from', 'the', 'calcium', 'carbonate', 'in', 'the', 'water', '.']",[],17.0,0.0,"['plitvice', 'lake', 'schematic', 'layout', 'lake', 'tufa', 'barrier', 'trail', 'essentially', 'go', 'canyon', 'lake', 'form', 'travertine', 'dam', 'build', 'calcium', 'carbonate', 'water']"
3552,20,"Valladolid, España",2022-10-08 14:32:11,1.0,"['fotografía', 'enrique']",[],86.0,0.0,"['fotografía', 'enrique']"
3558,26,"Fernley, Nevada, USA",2022-10-09 11:45:02,1.0,"['the', 'tire', 'from', 'the', 'rv', 'shows', 'significant', 'damage', '.']","['Rolling Stone', 'RV', 'tire']",31.0,0.0,"['tire', 'rv', 'show', 'significant', 'damage']"
3562,30,Canada,2014-08-02 02:13:07,1.0,"['allan', 'gardens', 'conservatory', 'is', 'a', 'major', 'landmark', 'and', 'tourist', 'attraction', 'in', 'downtown', 'toronto', '.', 'its', 'historic', ',', 'cast-iron', 'and', 'glass', 'domed', '&', 'quot', ';', 'palm', 'house', '&', 'quot', ';', 'was', 'built', 'in', '1910', 'and', 'is', 'designated', 'under', 'the', 'ontario', 'heritage', 'act', '.', 'a', 'botanical', 'gem', 'in', 'the', 'heart', 'of', 'the', 'city', ',', 'allan', 'gardens', 'has', 'a', 'permanent', 'collection', 'of', 'exotic', 'plants', 'and', 'beautiful', 'seasonal', 'flower', 'shows', '.']","['Allan', 'Gardens', 'Conservatory', 'Toronto', 'On', 'Canada', 'Ontario', 'Flowers', 'Sunburst', 'Stamen', 'Palm', 'House', 'Historic', 'Historical', 'Heritage', 'Building', 'Landmark', 'Travel', 'Tourist', 'Attraction', 'Exotic', 'Plants', 'Shows', 'Onasill', 'Sun', 'Burst', 'Light', 'Canon', 'SL1', 'Rebel', 'Sigma', '18-250mm', 'Cabbagetown', 'Rose', 'flower', 'plant']",16155.0,105.0,"['allan', 'garden', 'conservatory', 'major', 'landmark', 'tourist', 'attraction', 'downtown', 'toronto', 'historic', 'glass', 'domed', 'quot', 'palm', 'house', 'quot', 'build', 'designate', 'ontario', 'heritage', 'act', 'botanical', 'gem', 'heart', 'city', 'allan', 'garden', 'permanent', 'collection', 'exotic', 'plant', 'beautiful', 'seasonal', 'flower', 'show']"
3564,32,Brasilia,2022-10-06 14:23:45,1.0,"['brasília', ',', '06', 'de', 'outubro', 'de', '2022.', 'comitiva', 'da', 'argentina', 'visita', 'a', 'sede', 'da', 'cna', '.', 'foto', ':', 'wenderson', 'araujo/trilux']",[],85.0,0.0,"['brasília', 'de', 'outubro', 'de', 'comitiva', 'da', 'argentina', 'visita', 'sede', 'da', 'cna', 'foto', 'wenderson']"
3568,36,Russia,2022-10-04 08:53:34,1.0,"['4', 'октября', '2022', 'года', '.', 'осмотр', 'выставки', 'омской', 'области']",[],68.0,0.0,"['октября', 'года', 'осмотр', 'выставки', 'области']"
3569,37,"Aurora, IL",2022-09-30 09:00:46,1.0,"['spread', 'eagle', ',', 'wi']",[],43.0,0.0,"['spread', 'eagle', 'wi']"
3580,48,Russia,2022-09-29 12:08:22,1.0,"['29', 'сентября', '2022', 'года', '.', 'встреча', 'с', 'председателем', 'национального', 'собрания', 'парламента', 'республики', 'зимбабве']",[],53.0,0.0,"['сентября', 'года', 'встреча', 'с', 'председателем', 'национального', 'собрания', 'парламента', 'республики', 'зимбабве']"
