,location,dates,license,description,tags,views,comments
0,Spain,2022-10-12 11:38:56,1.0,#UCLGCongress,[],0.0,0.0
1,"Katy, Texas, united states",2022-10-13 18:44:40,1.0,,[],40.0,0.0
2,,2022-10-15 16:33:21,1.0,"Dado que el Día Mundial de la Alimentación es una fecha para crear conciencia sobre lo importante de las dietas saludables, en Venezuela se celebró no solo el 16 de octubre, sino toda una semana. Es así como el 14 se realizó el encendido del Obelisco de la Plaza Francia de Altamira, una de las más emblemáticas, conocidas y visitadas de Caracas. Ahí estuvieron presente personal de FAO Venezuela, de la Alcaldía de Chacao (municipio donde está ubicada la plaza) y demás transeúntes. El acto lo encabezaron Alexis Bonte, Representante de la FAO Venezuela y el secretario de Gobierno de la alcaldía, José Manuel Muñoz. El acto estuvo amenizado por un grupo musical, quien deleitó a los asistentes con un amplio repertorio de canciones tradicionales y universales.

El propio 16 de octubre, fue el turno de Mérida, en esta ciudad andina la FAO realizó el encendido de la Plaza de Las Banderas, donde estuvieron presente personal de FAO Venezuela y del Municipio Libertador, que es donde está localizada esta plaza.


Foto: ©FAO",[],9.0,0.0
3,,2022-10-05 16:11:46,1.0,Milkman 730 ,"['Edinburgh', 'Scotland', 'ScotlandisNow', 'Scotspirit', 'ScotlandScenery', 'CockburnStreet', 'Streetphotography', 'IloveScotland', 'ILoveEdingurgh', 'VisitScotland', 'Milkman', 'Architecture', 'ArchitecturePhotography', 'People', 'Skyline', 'Sky', 'Sun', 'Rain', 'Lines', 'Photography', 'Picoftheday', 'Photooftheday', 'PhotographyExplore', 'Walk', 'UrbanLife', 'Urban', 'Leica', 'Leicaimages', 'Leica_Camera', 'Leicacamerafrance', 'LeicaM240', 'Leica_World', 'LeicaM', 'Leicaphotography', 'Leica_Lens', 'Leicajourney', 'MyLeica', 'MyLeicaJourney', 'MyLeicaPhotos', 'Travel', 'TravelPhotography', 'Raw', 'Edit', 'MyWork', 'MyWorld', 'Aftertherain']",143.0,0.0
4,"Dallas, USA",2022-10-15 18:21:50,1.0,,[],22.0,0.0
5,"Cascais, Portugal",2020-10-14 15:35:00,1.0,Colorida Art Gallery opening at October 10 2020,[],0.0,0.0
6,,2022-10-14 16:23:07,1.0,                               ,[],11.0,0.0
7,,2022-10-16 18:12:27,1.0,,[],0.0,0.0
8,,2022-07-29 11:00:54,1.0,,[],0.0,0.0
9,,2022-07-29 11:18:56,1.0,,[],0.0,0.0
