LICENSE TYPE,No Priori,Australia,Brazil,Canada,Egypt,Germany,India,Japan,Spain,United Kingdom,United States,Arabic,Chinese (Simplified),Chinese (Traditional),English,French,Indonesian,Portuguese,Spanish
all,781000000,319000,1300000,582000,15900,9340000,276000,148000,293000,13100000,568000000,341000,240000,151000,681000000,1270000,331000,6680000,20100000
licenses/by/1.0,95200000,38400,9180,14100,415,242000,11300,18600,19800,143000,72700000,7680,20200,5010,94200000,109000,12300,33200,127000
licenses/by-nc/1.0,27200000,11600,3890,6370,183,76500,3350,11600,12400,52800,17100000,1880,9000,324,28900000,74200,4880,16700,31000
licenses/by-nc-sa/1.0,7450000,6250,1850,2910,98,28200,1530,3250,6250,25900,534000,264,4840,240,6500000,56300,1830,15100,19800
licenses/by-nd/1.0,102000000,40400,8420,13300,485,283000,10700,21600,21400,167000,88800000,8690,20600,3130,116000000,73300,11200,25200,114000
licenses/by-nd-nc/1.0,30200000,12700,3320,5750,153,75200,4000,11800,11800,53900,16500000,1380,8100,237,31600000,47000,3180,14300,29500
licenses/by-sa/1.0,44700000,19600,4760,6090,181,108000,4980,5960,11300,73300,31100000,4280,9600,2550,42300000,97500,5630,27500,94500
licenses/nc/1.0,26900000,10900,3680,6370,137,68900,3870,11100,9720,65600,17400000,1600,7730,414,19800000,69900,3660,24900,32200
licenses/nc-sa/1.0,8060000,6030,2050,2860,96,29800,2020,3020,7000,32300,516000,285,4480,62,7590000,65600,1840,23200,18500
licenses/nc-sampling+/1.0,2700,6,1,3,0,7,1,5,3,20,840,0,0,0,2610,3,0,3,1
licenses/nd/1.0,101000000,43600,9270,17400,679,270000,13400,19400,25300,195000,76400000,8610,24300,3860,105000000,66700,10400,25300,113000
licenses/nd-nc/1.0,32900000,14000,4340,5860,229,76800,3750,11600,11500,69900,20200000,1900,7310,292,26600000,42700,2780,15200,30800
licenses/sa/1.0,38500000,16700,3800,5920,168,98900,4410,4970,10300,62000,29400000,3530,8850,2000,35400000,85200,5730,26300,85900
licenses/sampling/1.0,63600000,24000,4310,8490,299,162000,5490,10300,9650,102000,52400000,724,4150,124,63300000,10900,2500,6370,15600
licenses/sampling+/1.0,5970,7,1,6,0,97,2,6,3,71,1680,0,0,0,5840,3,0,3,2
licenses/by/2.0,74200000,28100,10500,13100,621,310000,16900,16500,37300,163000,54800000,11000,16300,7720,66000000,157000,21600,98600,294000
licenses/by-nc/2.0,21900000,12900,6750,6040,156,66200,2490,9480,14400,59600,10800000,1640,4470,774,19600000,121000,3890,33500,85300
licenses/by-nc-nd/2.0,23300000,11300,4470,5670,330,56900,2360,9190,14600,76300,9740000,2220,6130,398,22000000,105000,2970,22600,76600
licenses/by-nc-sa/2.0,2920000,5730,1960,3570,211,29000,986,2430,8040,26100,342000,437,2590,342,2150000,99400,1930,23400,36400
licenses/by-nd/2.0,83200000,35000,9900,13000,496,248000,16000,17400,28000,198000,55900000,11100,16500,7780,68600000,97000,21200,46500,198000
licenses/by-nd-nc/2.0,19700000,12500,4530,5170,158,51900,2180,8670,15600,62700,9110000,1580,4590,626,17200000,75600,3310,25300,63900
licenses/by-sa/2.0,32100000,17300,5380,6350,365,206000,5720,5290,24000,58800,24700000,5450,8140,3780,29400000,133000,11200,51700,149000
licenses/devnations/2.0,54,1,0,0,0,0,0,0,0,1,70,0,0,0,128,5,1,1,35
licenses/nc/2.0,18800000,10900,5540,5530,167,59900,2650,9750,16700,54100,10500000,1500,4610,501,19400000,110000,4270,77400,90500
licenses/nc-sa/2.0,2680000,6240,1940,3390,174,30600,1180,3540,7600,28100,410000,669,2890,257,2440000,89100,1880,66000,40900
licenses/nd/2.0,70700000,32600,8880,12700,578,258000,21100,17500,30100,157000,53500000,15300,15900,7420,67900000,107000,18700,68600,278000
licenses/nd-nc/2.0,21300000,13400,3850,6690,126,63700,2870,9530,16700,66100,13500000,1730,6160,434,22500000,76600,3970,22300,80300
licenses/sa/2.0,35000000,15900,4250,6760,292,197000,6210,5120,23400,63800,24900000,6870,7890,3910,28300000,143000,10700,74400,153000
licenses/by/2.1,64700000,38100,8860,9100,651,165000,8250,26800,25400,143000,44700000,7400,19400,4310,61000000,52600,10800,32500,113000
licenses/by-nc/2.1,26300000,16900,4430,6080,259,60700,2970,14500,20400,79100,14500000,719,8580,552,28500000,45800,2380,21400,52400
licenses/by-nc-nd/2.1,29600000,18200,4210,5520,283,80400,2310,17300,16500,79100,14600000,965,10300,616,25200000,43400,2900,16100,50500
licenses/by-nc-sa/2.1,9910000,10300,2760,3090,190,31800,1680,7380,11900,38200,451000,285,4600,282,7900000,45900,1410,18300,45400
licenses/by-nd/2.1,78900000,48800,8610,10100,497,163000,9260,19100,29900,185000,48000000,4280,22200,2980,60600000,45100,8910,26900,96300
licenses/by-sa/2.1,33900000,21500,4390,6140,397,79300,4330,9560,16700,68700,20000000,1920,8700,873,29500000,49400,3680,27300,59300
licenses/by/2.5,80500000,51900,8170,24800,634,167000,9930,14600,21400,166000,54000000,8530,15700,5590,79400000,93500,11300,40100,284000
licenses/by-nc/2.5,24900000,16000,3720,16500,212,60000,3500,10500,14400,76400,1530000,1400,4720,591,25200000,64400,1630,20000,159000
licenses/by-nc-nd/2.5,25900000,17300,4070,17800,331,61200,3080,12300,16400,96600,16100000,1340,3860,463,27800000,69600,1910,19600,152000
licenses/by-nc-sa/2.5,8550000,8590,2350,7260,254,30100,1350,3640,9260,33100,503000,452,1940,112,7760000,47800,825,17000,78300
licenses/by-nd/2.5,88100000,64300,8500,22800,573,174000,11300,15300,28300,152000,67400000,7690,16000,5710,98800000,69100,9870,32100,246000
licenses/by-sa/2.5,36400000,30100,4560,10100,300,75400,4670,4500,14000,72200,26000000,5050,8220,2910,30200000,81700,3760,34300,166000
licenses/by/3.0,93800000,70300,66000,19400,4060,577000,21800,42800,58800,174000,70700000,42800,124000,31400,77700000,4820000,56600,762000,8870000
licenses/by-nc/3.0,22900000,21900,51900,8070,603,85000,5190,26200,24100,69700,12600000,4290,8010,1360,24700000,159000,3340,93400,442000
licenses/by-nc-nd/3.0,24800000,26300,18500,9700,447,97200,4300,27100,28300,65700,15200000,4440,9340,1200,27200000,187000,4040,149000,147000
licenses/by-nc-sa/3.0,5960000,11200,3930,3640,493,39400,2420,3970,11200,33400,776000,2050,4830,619,4730000,177000,2350,140000,128000
licenses/by-nd/3.0,99100000,68900,24600,18900,2850,248000,19700,41400,38500,205000,65200000,39100,129000,20900,82900000,144000,50400,334000,594000
licenses/by-sa/3.0,47900000,26000,7230,8680,1390,351000,11100,9220,31500,61800,40200000,20300,87500,13900,45300000,245000,25700,354000,831000
licenses/by/4.0,252000000,106000,149000,41900,6710,2110000,46300,80200,89400,495000,220000000,43100,69800,42100,293000000,462000,99300,367000,2640000
licenses/by-nc/4.0,88200000,29900,146000,22700,697,185000,13100,51400,43200,189000,48900000,10200,20700,8780,81200000,338000,31300,222000,340000
licenses/by-nc-nd/4.0,91700000,30300,39700,25600,743,171000,15600,52900,39900,194000,54100000,8640,21200,9270,77600000,386000,25800,119000,271000
licenses/by-nc-sa/4.0,25000000,12800,6850,8400,261,66200,3810,13700,17400,59200,20000000,2170,7930,721,26900000,274000,15300,92800,256000
licenses/by-nd/4.0,299000000,122000,63700,47200,4250,995000,57200,92500,75400,545000,263000000,39100,69800,36000,279000000,275000,87200,200000,879000
licenses/by-sa/4.0,136000000,42800,15200,15300,1530,401000,18900,21000,46700,163000,87000000,20200,36000,15300,124000000,382000,56800,193000,1460000
publicdomain/mark/1.0,16600000,3190,413,1950,5,42300,485,5810,2490,22600,15400000,4870,11600,4750,16300000,76800,3340,24000,67200
publicdomain/zero/1.0,39100000,11100,2000,5340,8,121000,2610,5860,3030,47400,34600000,5690,12300,4410,34300000,56600,3100,21100,64600
