LICENSE TYPE,Document Count
licenses/publicdomain,163
licenses/by/1.0,40
licenses/by/1.0/fi,0
licenses/by/1.0/il,0
licenses/by/1.0/nl,0
licenses/by-nc/1.0,0
licenses/by-nc/1.0/fi,0
licenses/by-nc/1.0/il,0
licenses/by-nc/1.0/nl,0
licenses/by-nc-sa/1.0,0
licenses/by-nc-sa/1.0/fi,0
licenses/by-nc-sa/1.0/il,0
licenses/by-nc-sa/1.0/nl,0
licenses/by-nd/1.0,0
licenses/by-nd/1.0/fi,0
licenses/by-nd/1.0/il,0
licenses/by-nd/1.0/nl,0
licenses/by-nd-nc/1.0,0
licenses/by-nd-nc/1.0/fi,0
licenses/by-nd-nc/1.0/il,0
licenses/by-nd-nc/1.0/nl,0
licenses/by-sa/1.0,0
licenses/by-sa/1.0/fi,0
licenses/by-sa/1.0/il,0
licenses/by-sa/1.0/nl,0
licenses/nc/1.0,0
licenses/nc/1.0/fi,0
licenses/nc/1.0/nl,0
licenses/nc-sa/1.0,0
licenses/nc-sa/1.0/fi,0
licenses/nc-sa/1.0/nl,0
licenses/nc-sampling+/1.0,0
licenses/nc-sampling+/1.0/tw,0
licenses/nd/1.0,0
licenses/nd/1.0/fi,0
licenses/nd/1.0/nl,0
licenses/nd-nc/1.0,0
licenses/nd-nc/1.0/fi,0
licenses/nd-nc/1.0/nl,0
licenses/sa/1.0,0
licenses/sa/1.0/fi,0
licenses/sa/1.0/nl,0
licenses/sampling/1.0,0
licenses/sampling/1.0/br,0
licenses/sampling/1.0/tw,0
licenses/sampling+/1.0,0
licenses/sampling+/1.0/br,0
licenses/sampling+/1.0/de,0
licenses/sampling+/1.0/tw,0
licenses/by/2.0,1
licenses/by/2.0/at,0
licenses/by/2.0/au,0
licenses/by/2.0/be,0
licenses/by/2.0/br,0
licenses/by/2.0/ca,0
licenses/by/2.0/cl,0
licenses/by/2.0/de,0
licenses/by/2.0/es,0
licenses/by/2.0/fr,0
licenses/by/2.0/hr,0
licenses/by/2.0/it,0
licenses/by/2.0/jp,0
licenses/by/2.0/kr,0
licenses/by/2.0/nl,0
licenses/by/2.0/pl,0
licenses/by/2.0/tw,0
licenses/by/2.0/uk,0
licenses/by/2.0/za,0
licenses/by-nc/2.0,0
licenses/by-nc/2.0/at,0
licenses/by-nc/2.0/au,0
licenses/by-nc/2.0/be,0
licenses/by-nc/2.0/br,0
licenses/by-nc/2.0/ca,0
licenses/by-nc/2.0/cl,0
licenses/by-nc/2.0/de,0
licenses/by-nc/2.0/es,0
licenses/by-nc/2.0/fr,0
licenses/by-nc/2.0/hr,0
licenses/by-nc/2.0/it,0
licenses/by-nc/2.0/jp,0
licenses/by-nc/2.0/kr,0
licenses/by-nc/2.0/nl,0
licenses/by-nc/2.0/pl,0
licenses/by-nc/2.0/tw,0
licenses/by-nc/2.0/uk,0
licenses/by-nc/2.0/za,0
licenses/by-nc-nd/2.0,0
licenses/by-nc-nd/2.0/at,0
licenses/by-nc-nd/2.0/au,0
licenses/by-nc-nd/2.0/be,0
licenses/by-nc-nd/2.0/br,0
licenses/by-nc-nd/2.0/ca,0
licenses/by-nc-nd/2.0/cl,0
licenses/by-nc-nd/2.0/de,0
licenses/by-nc-nd/2.0/es,0
licenses/by-nc-nd/2.0/fr,0
licenses/by-nc-nd/2.0/hr,0
licenses/by-nc-nd/2.0/it,0
licenses/by-nc-nd/2.0/jp,0
licenses/by-nc-nd/2.0/kr,0
licenses/by-nc-nd/2.0/nl,0
licenses/by-nc-nd/2.0/pl,0
licenses/by-nc-nd/2.0/tw,0
licenses/by-nc-nd/2.0/uk,0
licenses/by-nc-nd/2.0/za,0
licenses/by-nc-sa/2.0,7
licenses/by-nc-sa/2.0/at,0
licenses/by-nc-sa/2.0/au,0
licenses/by-nc-sa/2.0/be,0
licenses/by-nc-sa/2.0/br,0
licenses/by-nc-sa/2.0/ca,0
licenses/by-nc-sa/2.0/cl,0
licenses/by-nc-sa/2.0/de,0
licenses/by-nc-sa/2.0/es,0
licenses/by-nc-sa/2.0/fr,0
licenses/by-nc-sa/2.0/hr,0
licenses/by-nc-sa/2.0/it,0
licenses/by-nc-sa/2.0/jp,0
licenses/by-nc-sa/2.0/kr,0
licenses/by-nc-sa/2.0/nl,0
licenses/by-nc-sa/2.0/pl,0
licenses/by-nc-sa/2.0/tw,0
licenses/by-nc-sa/2.0/uk,0
licenses/by-nc-sa/2.0/za,0
licenses/by-nd/2.0,0
licenses/by-nd/2.0/at,0
licenses/by-nd/2.0/au,0
licenses/by-nd/2.0/be,0
licenses/by-nd/2.0/br,0
licenses/by-nd/2.0/ca,0
licenses/by-nd/2.0/cl,0
licenses/by-nd/2.0/de,0
licenses/by-nd/2.0/es,0
licenses/by-nd/2.0/fr,0
licenses/by-nd/2.0/hr,0
licenses/by-nd/2.0/it,0
licenses/by-nd/2.0/jp,0
licenses/by-nd/2.0/kr,0
licenses/by-nd/2.0/nl,0
licenses/by-nd/2.0/pl,0
licenses/by-nd/2.0/tw,0
licenses/by-nd/2.0/uk,0
licenses/by-nd/2.0/za,0
licenses/by-nd-nc/2.0,0
licenses/by-nd-nc/2.0/jp,0
licenses/by-sa/2.0,0
licenses/by-sa/2.0/at,0
licenses/by-sa/2.0/au,0
licenses/by-sa/2.0/be,0
licenses/by-sa/2.0/br,0
licenses/by-sa/2.0/ca,0
licenses/by-sa/2.0/cl,0
licenses/by-sa/2.0/de,0
licenses/by-sa/2.0/es,0
licenses/by-sa/2.0/fr,0
licenses/by-sa/2.0/hr,0
licenses/by-sa/2.0/it,0
licenses/by-sa/2.0/jp,0
licenses/by-sa/2.0/kr,0
licenses/by-sa/2.0/nl,0
licenses/by-sa/2.0/pl,0
licenses/by-sa/2.0/tw,0
licenses/by-sa/2.0/uk,0
licenses/by-sa/2.0/za,0
licenses/devnations/2.0,0
licenses/nc/2.0,0
licenses/nc/2.0/jp,0
licenses/nc-sa/2.0,0
licenses/nc-sa/2.0/jp,0
licenses/nd/2.0,0
licenses/nd/2.0/jp,0
licenses/nd-nc/2.0,0
licenses/nd-nc/2.0/jp,0
licenses/sa/2.0,0
licenses/sa/2.0/jp,0
licenses/by/2.1,0
licenses/by/2.1/au,0
licenses/by/2.1/ca,0
licenses/by/2.1/es,0
licenses/by/2.1/jp,0
licenses/by-nc/2.1,0
licenses/by-nc/2.1/au,0
licenses/by-nc/2.1/ca,0
licenses/by-nc/2.1/es,0
licenses/by-nc/2.1/jp,0
licenses/by-nc-nd/2.1,0
licenses/by-nc-nd/2.1/au,0
licenses/by-nc-nd/2.1/ca,0
licenses/by-nc-nd/2.1/es,0
licenses/by-nc-nd/2.1/jp,0
licenses/by-nc-sa/2.1,0
licenses/by-nc-sa/2.1/au,0
licenses/by-nc-sa/2.1/ca,0
licenses/by-nc-sa/2.1/es,0
licenses/by-nc-sa/2.1/jp,0
licenses/by-nd/2.1,0
licenses/by-nd/2.1/au,0
licenses/by-nd/2.1/ca,0
licenses/by-nd/2.1/es,0
licenses/by-nd/2.1/jp,0
licenses/by-sa/2.1,0
licenses/by-sa/2.1/au,0
licenses/by-sa/2.1/ca,0
licenses/by-sa/2.1/es,0
licenses/by-sa/2.1/jp,0
licenses/by/2.5,0
licenses/by/2.5/ar,0
licenses/by/2.5/au,0
licenses/by/2.5/bg,0
licenses/by/2.5/br,0
licenses/by/2.5/ca,0
licenses/by/2.5/ch,0
licenses/by/2.5/cn,0
licenses/by/2.5/co,0
licenses/by/2.5/dk,0
licenses/by/2.5/es,0
licenses/by/2.5/hr,0
licenses/by/2.5/hu,0
licenses/by/2.5/il,0
licenses/by/2.5/in,0
licenses/by/2.5/it,0
licenses/by/2.5/mk,0
licenses/by/2.5/mt,0
licenses/by/2.5/mx,0
licenses/by/2.5/my,0
licenses/by/2.5/nl,0
licenses/by/2.5/pe,0
licenses/by/2.5/pl,0
licenses/by/2.5/pt,0
licenses/by/2.5/scotland,0
licenses/by/2.5/se,0
licenses/by/2.5/si,0
licenses/by/2.5/tw,0
licenses/by/2.5/za,0
licenses/by-nc/2.5,0
licenses/by-nc/2.5/ar,0
licenses/by-nc/2.5/au,0
