LICENSE TYPE,File Count,Page Count
Free_Creative_Commons_licenses,0,0
Free_Creative_Commons_licenses/CC-BY,1,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-1.0,7722,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-1.0/CC-BY-1.0+,7722,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-1.0/CC-BY-1.0+/CC-BY-1.0-FI,93,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-1.0/CC-BY-1.0+/CC-BY-1.0-IL,1,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-1.0/CC-BY-1.0+/CC-BY-1.0-NL,45,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-1.0/CC-BY-1.0+/CC-BY-3.0|2.5|2.0|1.0,18410,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.0,6127008,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.0/CC-BY-2.0-AT,231,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.0/CC-BY-2.0-AU,0,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.0/CC-BY-2.0-BE,74,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.0/CC-BY-2.0-BR,333,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.0/CC-BY-2.0-CA,4,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.0/CC-BY-2.0-CL,163,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.0/CC-BY-2.0-DE,8090,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.0/CC-BY-2.0-ES,8,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.0/CC-BY-2.0-FR,21467,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.1,0,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.1/CC-BY-2.1-AU,21,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.1/CC-BY-2.1-ES,33,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.1/CC-BY-2.1-JP,6061,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.5,360378,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.5/CC-BY-2.5-AR,5709,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.5/CC-BY-2.5-AU,6658,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.5/CC-BY-2.5-BG,399,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.5/CC-BY-2.5-BR,252,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.5/CC-BY-2.5-CA,59,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.5/CC-BY-2.5-CH,312,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.5/CC-BY-2.5-CN,88,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.5/CC-BY-2.5-CO,6,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-2.5/CC-BY-2.5-DK,5914,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0,3054729,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-AT,5811,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-AU,8886,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR,13465,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Photographs by Agencia Brasil,10712,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Photographs by Agencia Brasil/Agência Brasil related uploads affected by license change,1,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Photographs by Agencia Brasil/Agência Brasil related uploads affected by license change/Agência Brasil related uploads affected by license change/checked,0,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Photographs by Agencia Brasil/Files from Agência Brasil Fotografias Flickr stream,4673,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Photographs by Agencia Brasil/Agência Brasil related deletion requests,0,83
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Photographs by Agencia Brasil/Photographs by Agencia Brasil without a source,0,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Photographs by Agencia Brasil/Photographs by José Cruz,36,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Photographs by Agencia Brasil/Photos taken by Elza Fiúza,259,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Photographs by Agencia Brasil/Photos taken by Fabio Rodrigues Pozzebom,30,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Photographs by MultiRio,1,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Photographs from Rede do Esporte,156,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Photographs by Prefeitura do Rio de Janeiro,128,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Images by TV Brasil,0,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Images by TV Brasil/TV Brasil related deletion requests,1,5
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-BR/Images by TV Brasil/Photographs by TV Brasil,350,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-CH,153,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-CL,3830,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-CL/CC-Alejandro Hales BCN,25,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-CL/CC-Gobierno de Chile,2424,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-CL/CC-Historia Política BCN,1326,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-CN,102,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-CR,0,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-3.0/CC-BY-3.0-CZ,437,0
Free_Creative_Commons_licenses/CC-BY/CC-BY-4.0,1958761,0
Free_Creative_Commons_licenses/CC-BY-SA,4,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-1.0,30475,1
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-1.0/CC-BY-SA-1.0+,30475,1
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-1.0/CC-BY-SA-1.0+/CC-BY-SA-1.0-FI,148,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-1.0/CC-BY-SA-1.0+/CC-BY-SA-1.0-IL,0,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-1.0/CC-BY-SA-1.0+/CC-BY-SA-1.0-NL,2,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-1.0/CC-BY-SA-1.0+/CC-BY-SA-2.5|2.0|1.0,293304,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-1.0/CC-BY-SA-1.0+/CC-BY-SA-3.0|2.5|2.0|1.0,1120719,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-1.0/CC-BY-SA-1.0+/CC-BY-SA-4.0|3.0|2.5|2.0|1.0,413605,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.0,8293847,17
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.0/CC-BY-SA-2.0+,8293847,17
