LICENSE TYPE,Time,Document Count
licenses/by/3.0,2009-1,57964
licenses/by/3.0,2009-3,39066
licenses/by/3.0,2009-5,73928
licenses/by/3.0,2009-7,51207
licenses/by/3.0,2009-9,85426
licenses/by/3.0,2009-11,74349
licenses/by/3.0,2010-1,96908
licenses/by/3.0,2010-3,84705
licenses/by/3.0,2010-5,98698
licenses/by/3.0,2010-7,157650
licenses/by/3.0,2010-9,115073
licenses/by/3.0,2010-11,173559
licenses/by/3.0,2011-1,138676
licenses/by/3.0,2011-3,240296
licenses/by/3.0,2011-5,239252
licenses/by/3.0,2011-7,399800
licenses/by/3.0,2011-9,367415
licenses/by/3.0,2011-11,487844
licenses/by/3.0,2012-1,372311
licenses/by/3.0,2012-3,488337
licenses/by/3.0,2012-5,378819
licenses/by/3.0,2012-7,510653
licenses/by/3.0,2012-9,408621
licenses/by/3.0,2012-11,439392
licenses/by/3.0,2013-1,590500
licenses/by/3.0,2013-3,414608
licenses/by/3.0,2013-5,844319
licenses/by/3.0,2013-7,615065
licenses/by/3.0,2013-9,773252
licenses/by/3.0,2013-11,615176
licenses/by/3.0,2014-1,806014
licenses/by/3.0,2014-3,685825
licenses/by/3.0,2014-5,858093
licenses/by/3.0,2014-7,793658
licenses/by/3.0,2014-9,785990
licenses/by/3.0,2014-11,791252
licenses/by/3.0,2015-1,770820
licenses/by/3.0,2015-3,1000000
licenses/by/3.0,2015-5,816263
licenses/by/3.0,2015-7,1000000
licenses/by/3.0,2015-9,1000000
licenses/by/3.0,2015-11,1000000
licenses/by/3.0,2016-1,1000000
licenses/by/3.0,2016-3,1000000
licenses/by/3.0,2016-5,1000000
licenses/by/3.0,2016-7,1000000
licenses/by/3.0,2016-9,1000000
licenses/by/3.0,2016-11,1000000
licenses/by/3.0,2017-1,1000000
licenses/by/3.0,2017-3,1000000
licenses/by/3.0,2017-5,1000000
licenses/by/3.0,2017-7,1000000
licenses/by/3.0,2017-9,1000000
licenses/by/3.0,2017-11,1000000
licenses/by/3.0,2018-1,1000000
licenses/by/3.0,2018-3,1000000
licenses/by/3.0,2018-5,1000000
licenses/by/3.0,2018-7,1000000
licenses/by/3.0,2018-9,1000000
licenses/by/3.0,2018-11,1000000
licenses/by/3.0,2019-1,1000000
licenses/by/3.0,2019-3,1000000
licenses/by/3.0,2019-5,1000000
licenses/by/3.0,2019-7,1000000
licenses/by/3.0,2019-9,1000000
licenses/by/3.0,2019-11,1000000
licenses/by/3.0,2020-1,1000000
licenses/by/3.0,2020-3,1000000
licenses/by/3.0,2020-5,1000000
licenses/by/3.0,2020-7,1000000
licenses/by/3.0,2020-9,1000000
licenses/by/3.0,2020-11,1000000
licenses/by/3.0,2021-1,1000000
licenses/by/3.0,2021-3,1000000
licenses/by/3.0,2021-5,1000000
licenses/by/3.0,2021-7,1000000
licenses/by/3.0,2021-9,1000000
licenses/by/3.0,2021-11,1000000
licenses/by/3.0,2022-1,1000000
licenses/by/3.0,2022-3,1000000
licenses/by/3.0,2022-5,1000000
licenses/by/3.0,2022-7,1000000
licenses/by/3.0,2022-9,1000000
