pages,articles,edits,images,users,activeusers,admins,jobs,cirrussearch-article-words,queued-massmessages,language
509,0,4685,0,4063,0,1,0,0,0,aa
20492,5997,119495,9,17936,19,2,0,228414,0,ab
26523,12551,143803,0,24441,46,3,0,719707,0,ace
3149,452,12171,0,6099,15,1,0,35136,0,ady
373729,104842,2523053,9617,154016,151,16,0,36364438,0,af
2445,591,28952,0,12646,8,1,0,155860,0,ak
70451,29162,1018808,571,93406,90,9,0,12551050,0,als
3774,1044,37611,0,1742,16,2,0,589250,0,alt
45981,15058,372093,1766,39860,47,2,0,1766056,0,am
1669,841,32539,0,1033,23,0,0,421221,0,ami
128809,42365,1847426,1510,69096,80,6,0,7953961,0,an
16681,3751,206489,299,118495,42,2,0,365764,0,ang
7857881,1188337,59318307,50327,2313589,5500,27,0,373895655,0,ar
6446,1862,95427,0,18937,14,2,0,57123,0,arc
44238,5855,206068,58,6758,37,4,0,895239,0,ary
2028318,1602914,7366794,1480,191994,199,7,0,328038236,0,arz
73864,10758,334070,1724,35045,77,5,0,6427774,0,as
229267,130314,3721275,0,107992,116,11,0,81932822,0,ast
3025,1919,14801,0,3753,9,5,0,105376,0,atj
14863,3178,83689,0,13488,28,2,0,578156,0,av
30297,24924,117685,0,3252,30,6,0,2289888,0,avk
5351,2436,24133,0,1982,8,1,0,235092,0,awa
8636,5032,95679,0,15457,23,1,0,452521,0,ay
513919,188446,6673026,21315,254670,628,17,0,57493359,0,az
572675,242474,1527585,248,38673,101,5,0,14345641,0,azb
170738,60624,1178401,1458,35807,82,7,0,25135988,0,ba
32127,16078,129009,114,5656,45,3,0,2906950,0,ban
108791,26846,831999,1320,64011,53,3,0,5664959,0,bar
29181,17122,356489,109,24308,26,5,0,672085,0,bat-smg
33887,12470,236065,865,19991,45,3,0,3475563,0,bcl
651182,223729,4210560,3257,122311,309,11,0,52575804,0,be
227627,79275,2333127,1904,76852,137,4,0,19153489,0,be-tarask
634579,284963,11519978,528,313644,697,25,0,102778772,0,bg
69592,8080,725018,53,30118,42,2,0,1279321,0,bh
3316,1398,42242,0,12228,13,2,0,42071,0,bi
22643,4669,77524,1,12916,41,2,0,728198,0,bjn
4227,1112,19167,0,350,25,1,0,527296,0,blk
3151,779,40538,0,9946,18,2,0,62827,0,bm
997849,128424,6124355,15692,390805,1198,13,0,60420219,0,bn
17600,6012,139995,0,26739,23,1,0,10493485,0,bo
62869,25086,889051,45,23639,15,3,0,2432762,0,bpy
144324,74425,2010811,5321,70843,102,6,0,12975957,0,br
368332,90582,3422217,5472,145744,185,9,0,34036834,0,bs
19646,15396,200918,0,12364,14,1,0,322720,0,bug
11049,2773,70034,9,13977,22,1,0,663834,0,bxr
1774398,712010,30670522,15720,429821,1069,30,0,330171483,0,ca
8250,3133,110146,0,13600,20,2,0,625614,0,cbk-zam
31410,15573,90627,0,19130,27,4,0,738219,0,cdo
911743,484629,8708110,316,31190,56,3,0,60167442,0,ce
11232358,6125594,34885563,0,94875,192,6,0,1239999620,0,ceb
2502,543,22865,0,14520,14,1,0,20506,0,ch
201,6,4220,0,1809,0,1,0,395,0,cho
3906,1020,46250,0,22037,14,1,0,67124,0,chr
2262,663,24168,0,10667,9,1,0,8111,0,chy
187384,43504,991767,1621,52144,158,7,0,8373873,0,ckb
14880,6276,380139,0,20086,49,2,0,1165230,0,co
2162,158,37480,0,16871,18,2,0,2352,0,cr
40906,20763,179754,0,18098,35,2,0,891586,0,crh
1413731,511037,21697134,1,591259,2139,32,0,228453082,0,cs
8729,5436,186070,0,15541,19,3,0,429847,0,csb
5574,1174,82688,0,23264,16,2,0,70809,0,cu
98382,49920,765413,537,31495,53,2,0,6391600,0,cv
418782,277474,11396782,11277,74703,113,16,0,52354279,0,cy
911247,285401,11233539,0,438767,797,25,0,87570102,0,da
4573,2122,45760,0,1930,40,3,0,654352,0,dag
7536941,2730676,225227708,128523,4003592,16962,187,0,1441624439,0,de
1089,305,8060,0,5725,12,1,0,85711,0,din
60588,40166,488056,209,25207,21,3,0,3024798,0,diq
11208,3331,143036,0,17349,20,1,0,458721,0,dsb
19296,3307,237570,3,5597,15,3,0,451266,0,dty
11209,3020,130101,932,23495,23,3,0,783937,0,dv
2295,229,29456,0,9304,10,1,0,345702,0,dz
3168,445,50340,0,13370,21,3,0,56337,0,ee
633903,213661,9682960,18561,373056,1043,22,0,128548584,0,el
35088,13013,152679,2742,23586,29,3,0,3385849,0,eml
56647820,6557837,1109229043,893711,44267386,120944,1028,0,4212400413,0,en
725623,325171,7722575,11564,201113,312,16,0,75443642,0,eo
7740874,1806824,145896844,0,6654067,14419,63,0,1069706660,0,es
544321,230482,6198529,757,169883,533,34,0,53606700,0,et
830590,399277,9031603,0,139917,303,12,0,71397050,0,eu
7592,3396,116393,0,16171,26,1,0,590445,0,ext
5370327,932229,35594965,82327,1153231,4896,34,0,177903261,0,fa
2656,573,25682,0,7963,23,1,0,131334,0,ff
1416571,539447,20772698,71338,524518,1763,32,0,151820320,0,fi
12227,6354,177442,179,13296,21,4,0,464734,0,fiu-vro
3631,1274,35463,0,8418,9,1,0,86372,0,fj
40304,13805,369250,0,27180,47,3,0,2207333,0,fo
12214016,2459897,197000492,68790,4478613,16904,157,0,1547797153,0,fr
15636,5629,216832,0,14879,27,2,0,528454,0,frp
41841,16298,234918,1338,18186,41,5,0,1714531,0,frr
8615,3767,170538,318,13328,30,2,0,619997,0,fur
151131,49538,1091641,7622,43853,74,8,0,16935092,0,fy
96997,57630,1106928,1135,53100,86,7,0,8247958,0,ga
6589,2802,67832,0,12808,14,1,0,257370,0,gag
33498,6491,395000,57,38847,16,1,0,411263,0,gan
2557,1050,16507,0,2240,10,1,0,346740,0,gcr
32233,15924,570598,347,25832,25,6,0,2374582,0,gd
477096,190167,6183671,313,129382,259,8,0,81956901,0,gl
13910,6442,62508,808,14405,12,3,0,551417,0,glk
11500,4966,121714,0,16648,32,2,0,844231,0,gn
9069,3560,206490,0,8742,15,3,0,2005123,0,gom
21124,13465,51192,0,4147,30,2,0,749595,0,gor
3808,866,46155,0,17874,10,1,0,93145,0,got
118707,29986,828981,0,69991,76,3,0,8423467,0,gu
1973,1097,31620,0,572,16,2,0,231149,0,guw
21450,5662,313196,184,18252,22,3,0,851039,0,gv
33276,18927,179506,0,19070,132,5,0,9052191,0,ha
18283,9451,122605,0,30607,26,1,0,577481,0,hak
5538,2465,96640,0,15233,20,1,0,221796,0,haw
1352013,323260,34726133,74687,1011040,2876,32,0,199273844,0,he
1200255,153058,5646772,3633,717745,1387,6,0,50497640,0,hi
42522,10270,272704,192,29897,25,2,0,743492,0,hif
129,3,3786,0,1575,0,1,0,205,0,ho
443641,212949,6469861,21065,280087,499,11,0,66365389,0,hr
35404,13839,377671,133,23240,37,4,0,2315225,0,hsb
82429,68175,809412,0,28828,47,3,0,7247423,0,ht
1468356,513108,25274823,8491,513824,1606,24,0,203892088,0,hu
991204,293438,8506243,11390,125250,385,11,0,96050572,0,hy
21694,10288,195751,0,7551,31,5,0,4645338,0,hyw
176,0,4483,0,3761,2,1,0,0,0,hz
39171,25142,645088,4,45148,43,6,0,2320919,0,ia
3317159,630114,21718224,48013,1356654,3084,44,0,178193968,0,id
15226,11387,152478,0,17109,30,3,0,3528238,0,ie
16688,11012,98243,0,14237,90,5,0,6193978,0,ig
189,3,11653,0,2031,0,1,0,85,0,ii
2617,445,38008,0,8004,8,2,0,9916,0,ik
70196,15363,397017,0,16295,24,2,0,3365146,0,ilo
11977,2108,55607,37,3374,14,2,0,268200,0,inh
50447,34260,998182,0,33957,58,5,0,5704803,0,io
142401,55005,1765645,3218,87562,149,19,0,12389506,0,is
7526022,1774114,129424882,137187,2299360,7537,123,0,850415711,0,it
3191,597,44550,0,17138,15,2,0,14389,0,iu
3974318,1345526,91559868,27676,1984702,14672,41,0,1318592761,0,ja
3024,1685,20779,0,7368,11,1,0,186363,0,jam
5718,1305,111690,0,15140,9,2,0,463851,0,jbo
180220,71620,1596912,5430,54486,100,4,0,10419194,0,jv
461897,163351,4410301,14895,144193,206,6,0,36638622,0,ka
5322,2037,47673,3,10372,33,2,0,285656,0,kaa
15930,6456,106070,0,12151,21,2,0,668996,0,kab
6742,1595,43729,0,9199,11,1,0,230863,0,kbd
3375,1698,16091,0,3905,12,2,0,481206,0,kbp
2506,493,17112,0,511,5,1,0,78469,0,kcg
2909,1257,43812,0,10066,14,1,0,39056,0,kg
3076,1502,20695,0,8037,12,1,0,46841,0,ki
114,4,3548,0,1377,0,1,0,113,0,kj
589890,232314,3078374,10546,122374,300,16,0,34082150,0,kk
2260,242,74502,0,12383,9,3,0,25176,0,kl
33350,9479,283780,1036,36795,101,6,0,7238046,0,km
131243,28742,1117313,2611,77148,156,4,0,19464159,0,kn
2756463,608557,33330247,12752,755014,1670,27,0,150887620,0,ko
11103,3445,59893,0,7954,13,1,0,413252,0,koi
162,0,4641,0,5464,1,1,0,0,0,kr
14327,2057,106240,0,9743,14,2,0,318894,0,krc
9011,2266,64991,9,9476,19,2,0,101233,0,ks
10541,2916,1606896,0,21488,19,3,0,508551,0,ksh
112666,57051,1103883,564,52385,96,3,0,5912431,0,ku
16821,5491,139974,0,13348,22,1,0,793872,0,kv
11821,5561,199793,6,13874,26,2,0,576930,0,kw
110528,80703,427450,2687,33623,94,4,0,11319113,0,ky
276148,137074,3697360,0,159724,170,21,0,20285922,0,la
12948,3605,208956,23,19803,20,5,0,779348,0,lad
131955,61155,2396531,2381,55613,73,5,0,11705751,0,lb
14760,1264,50378,0,7860,13,2,0,44390,0,lbe
13070,4307,86769,10,9880,17,3,0,792882,0,lez
6685,4179,38184,0,9452,25,1,0,1520065,0,lfn
4870,1459,26922,0,7242,22,1,0,600751,0,lg
65675,13798,454754,623,26741,27,7,0,4480783,0,li
26658,11043,234989,7,14646,29,8,0,1762574,0,lij
74413,70282,110323,0,2398,30,3,0,3343843,0,lld
125143,56020,1137305,4437,38205,41,5,0,6290914,0,lmo
8595,3288,121939,32,11940,29,4,0,250830,0,ln
12330,4031,95230,0,15596,40,1,0,1341097,0,lo
237,1,140064,0,5037,1,1,0,2,0,lrc
502744,205100,6691554,23962,167872,372,10,0,43670288,0,lt
3224,1015,35348,0,6748,7,1,0,102758,0,ltg
470705,115929,3689432,25647,109036,311,13,0,28663833,0,lv
1635,863,8979,0,1628,14,0,0,92621,0,mad
39469,13724,229973,115,11943,27,5,0,1387701,0,mai
30215,13753,213342,462,15045,16,1,0,687519,0,map-bms
12112,2090,65376,0,8614,15,3,0,418602,0,mdf
245281,94934,1048087,3,29125,49,3,0,9165232,0,mg
206,4,4212,0,2141,1,1,0,585,0,mh
27401,10466,185362,0,13223,26,1,0,2659444,0,mhr
13726,7543,158597,0,16868,32,2,0,779397,0,mi
385712,225733,2462998,177,16315,46,5,0,20230743,0,min
526053,130820,4808749,8682,104163,211,12,0,57323171,0,mk
490820,79465,3727990,6975,164551,266,15,0,24563444,0,ml
