pages,articles,edits,images,users,activeusers,admins,jobs,cirrussearch-article-words,queued-massmessages,language
509,0,4685,0,4063,0,1,0,0,0,aa
20546,6021,119663,9,18033,19,2,0,229249,0,ab
374163,105074,2526966,9626,154785,162,16,0,36462286,0,af
2449,592,29394,0,12737,11,1,0,164425,0,ak
45950,15042,372281,1766,40163,56,2,0,1768160,0,am
129636,42775,1854317,1512,69412,85,6,0,8015330,0,an
7881083,1190381,59526469,50470,2327573,6962,27,0,374908754,0,ar
74157,10782,335238,1726,35275,87,5,0,6456527,0,as
14976,3243,84003,0,13558,29,2,0,598142,0,av
8624,5028,95713,0,15519,23,1,0,449459,0,ay
515960,189139,6717467,21249,256032,667,15,0,57918007,0,az
171137,60772,1188678,1458,36017,86,7,0,25450825,0,ba
653090,224644,4253159,3257,123011,291,11,0,52894230,0,be
635494,285349,11540942,495,314656,706,25,0,103058112,0,bg
69798,8097,725806,53,30287,49,2,0,1281241,0,bh
3321,1401,42304,0,12276,18,2,0,42120,0,bi
3154,779,40605,0,9998,21,2,0,62827,0,bm
1000798,129133,6160283,15784,393476,1170,13,0,60870660,0,bn
17545,5979,140029,0,26841,25,1,0,10486316,0,bo
145181,75160,2021656,5321,71152,99,6,0,13016749,0,br
368626,90686,3438439,5470,146300,187,9,0,34209093,0,bs
1778595,713284,30767945,15888,431919,1361,30,0,331503303,0,ca
921830,494528,8727024,318,31441,58,3,0,64376019,0,ce
2503,544,22871,0,14584,13,1,0,20601,0,ch
14991,6383,380875,0,20172,37,2,0,1166642,0,co
2163,158,37504,0,16952,14,2,0,2353,0,cr
1419060,512129,21759938,1,593933,2334,30,0,229582413,0,cs
5579,1179,82782,0,23382,21,2,0,70878,0,cu
98848,50034,768864,537,31640,48,2,0,6425410,0,cv
424078,277606,11527076,11281,75250,108,16,0,52432550,0,cy
912854,286297,11254955,0,440157,779,25,0,87814089,0,da
7553712,2736645,225822219,128781,4016478,17325,187,0,1447359688,0,de
11211,3021,130143,932,23591,19,3,0,784252,0,dv
2305,234,29505,0,9372,14,1,0,381442,0,dz
3221,453,51032,0,13434,20,3,0,62377,0,ee
635330,214267,9716055,18559,374609,1051,22,0,129080897,0,el
56793858,6566381,1113359418,894272,44382058,122923,1026,0,4225629593,0,en
728069,326098,7745082,11898,201873,317,16,0,75697394,0,eo
7755200,1812118,146416216,0,6673372,14914,63,0,1075170881,0,es
545285,230929,6219380,766,170690,561,34,0,53788271,0,et
833897,400358,9050731,0,140855,519,12,0,71912353,0,eu
5382977,935478,35725079,82606,1159286,4978,34,0,179038329,0,fa
2689,589,26043,0,8018,29,1,0,133015,0,ff
1419741,540868,20875738,71632,526216,1735,32,0,152632553,0,fi
3634,1276,35491,0,8465,13,1,0,86508,0,fj
40326,13808,369439,0,27289,49,3,0,2207911,0,fo
12244146,2465782,197619211,68929,4495428,17566,157,0,1553448413,0,fr
151638,49652,1093849,7629,44021,87,8,0,17041029,0,fy
97218,57683,1110956,1145,53346,82,7,0,8304524,0,ga
32201,15890,570946,347,25935,33,6,0,2371880,0,gd
478411,190581,6203377,312,129949,257,8,0,82246973,0,gl
11622,4984,121983,0,16731,29,2,0,847285,0,gn
119082,30003,830727,0,70290,83,3,0,8429937,0,gu
21758,5680,314400,184,18364,24,3,0,857449,0,gv
33698,19018,183319,0,19376,141,5,0,9113811,0,ha
1362103,324883,34870030,74988,1019712,2864,32,0,200403643,0,he
1205103,153450,5666192,3650,721525,1388,6,0,50775381,0,hi
129,3,3786,0,1575,0,1,0,205,0,ho
444388,212841,6489015,21092,281066,505,11,0,66424666,0,hr
82892,68212,813692,0,29005,96,3,0,7277277,0,ht
1470428,514083,25336036,8533,515460,1582,24,0,204510545,0,hu
991889,293579,8521786,11406,125895,397,11,0,96273829,0,hy
176,0,4483,0,3761,1,1,0,0,0,hz
39296,24818,646194,4,45339,39,6,0,2394470,0,ia
3326996,631650,21809135,48114,1361171,3040,44,0,178914989,0,id
15244,11406,152606,0,17219,33,2,0,3532838,0,ie
20097,13250,107519,0,14610,161,5,0,7267664,0,ig
189,3,11653,0,2031,0,1,0,85,0,ii
2617,445,38030,0,8061,13,2,0,9933,0,ik
51047,34611,999755,0,34095,57,5,0,5731007,0,io
142638,55065,1768295,3218,87886,157,19,0,12438538,0,is
7544904,1778948,129805356,136453,2306749,7860,123,0,853197256,0,it
3180,587,44559,0,17220,18,2,0,13065,0,iu
3979141,1348238,91909513,23095,1992230,14696,41,0,1323518305,0,ja
180743,71959,1598587,5430,54756,101,5,0,10450244,0,jv
462664,163685,4422408,14909,144732,247,6,0,36813169,0,ka
2907,1257,43851,0,10106,13,1,0,37607,0,kg
3080,1502,20731,0,8074,10,1,0,46859,0,ki
114,4,3548,0,1377,0,1,0,113,0,kj
590902,232397,3086419,10546,123167,299,16,0,34129025,0,kk
2261,242,74567,0,12448,12,3,0,25372,0,kl
33450,9618,286979,1036,36998,77,5,0,7305433,0,km
131779,28959,1125207,2617,77504,144,4,0,19769615,0,kn
2762586,610969,33476248,12788,757964,1695,27,0,151404413,0,ko
162,0,4641,0,5464,1,1,0,0,0,kr
