Language	Language (local)	Wiki
Afar	Qafár af	aa
Abkhazian	аԥсшәа	ab
Acehnese	Acèh	ace
Adyghe	адыгабзэ	ady
Afrikaans	Afrikaans	af
Akan	Akan	ak
Alemannic	Alemannisch	als
Altai	алтай тил	alt
Amharic	አማርኛ	am
Amis	Pangcah	ami
Aragonese	aragonés	an
Anglo-Saxon	Ænglisc	ang
Arabic	العربية	ar
Aramaic	ܐܪܡܝܐ	arc
Moroccan Arabic	الدارجة	ary
Egyptian Arabic	مصرى	arz
Assamese	অসমীয়া	as
Asturian	asturianu	ast
Atikamekw	Atikamekw	atj
Avar	авар	av
Kotava	Kotava	avk
Awadhi	अवधी	awa
Aymara	Aymar aru	ay
Azerbaijani	azərbaycanca	az
South Azerbaijani	تۆرکجه	azb
Bashkir	башҡортса	ba
Balinese	Basa Bali	ban
Bavarian	Boarisch	bar
Samogitian	žemaitėška	bat-smg
Central Bikol	Bikol Central	bcl
Belarusian	беларуская	be
Belarusian (Taraškievica)	беларуская (тарашкевіца)	be-tarask
Bulgarian	български	bg
Bhojpuri	भोजपुरी	bh
Bislama	Bislama	bi
Banjar	Banjar	bjn
Pa'O	ပအိုဝ်ႏဘာႏသာႏ	blk
Bambara	bamanankan	bm
Bengali	বাংলা	bn
Tibetan	བོད་ཡིག	bo
Bishnupriya Manipuri	বিষ্ণুপ্রিয়া মণিপুরী	bpy
Breton	brezhoneg	br
Bosnian	bosanski	bs
Buginese	ᨅᨔ ᨕᨘᨁᨗ	bug
Buryat	буряад	bxr
Catalan	català	ca
Chavacano	Chavacano de Zamboanga	cbk-zam
Eastern Min	Mìng-dĕ̤ng-ngṳ̄	cdo
Chechen	нохчийн	ce
Cebuano	Cebuano	ceb
Chamorro	Chamoru	ch
Choctaw	Chahta Anumpa	cho
Cherokee	ᏣᎳᎩ	chr
Cheyenne	Tsetsêhestâhese	chy
Kurdish (Sorani)	کوردی	ckb
Corsican	corsu	co
Cree	Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ	cr
Crimean Tatar	qırımtatarca	crh
Czech	čeština	cs
Kashubian	kaszëbsczi	csb
Old Church Slavonic	словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ	cu
Chuvash	чӑвашла	cv
Welsh	Cymraeg	cy
Danish	dansk	da
Dagbani	dagbanli	dag
German	Deutsch	de
Dinka	Thuɔŋjäŋ	din
Zazaki	Zazaki	diq
Lower Sorbian	dolnoserbski	dsb
Doteli	डोटेली	dty
Dhivehi	ދިވެހިބަސް	dv
Dzongkha	ཇོང་ཁ	dz
Ewe	eʋegbe	ee
Greek	Ελληνικά	el
Emilian-Romagnol	emiliàn e rumagnòl	eml
English	English	en
Esperanto	Esperanto	eo
Spanish	español	es
Estonian	eesti	et
Basque	euskara	eu
Extremaduran	estremeñu	ext
Persian	فارسی	fa
Fula	Fulfulde	ff
Finnish	suomi	fi
Võro	võro	fiu-vro
Fijian	Na Vosa Vakaviti	fj
Faroese	føroyskt	fo
French	français	fr
Franco-Provençal	arpetan	frp
North Frisian	Nordfriisk	frr
Friulian	furlan	fur
West Frisian	Frysk	fy
Irish	Gaeilge	ga
Gagauz	Gagauz	gag
Gan	贛語	gan
Guianan Creole	kriyòl gwiyannen	gcr
Scottish Gaelic	Gàidhlig	gd
Galician	galego	gl
Gilaki	گیلکی	glk
Guarani	Avañe'ẽ	gn
Konkani	गोंयची कोंकणी / Gõychi Konknni	gom
Gorontalo	Bahasa Hulontalo	gor
Gothic	𐌲𐌿𐍄𐌹𐍃𐌺	got
Gujarati	ગુજરાતી	gu
Gungbe	gungbe	guw
Manx	Gaelg	gv
Hausa	Hausa	ha
Hakka	客家語/Hak-kâ-ngî	hak
Hawaiian	Hawaiʻi	haw
Hebrew	עברית	he
Hindi	हिन्दी	hi
Fiji Hindi	Fiji Hindi	hif
Hiri Motu	Hiri Motu	ho
Croatian	hrvatski	hr
Upper Sorbian	hornjoserbsce	hsb
Haitian Creole	Kreyòl ayisyen	ht
Hungarian	magyar	hu
Armenian	հայերեն	hy
Western Armenian	Արեւմտահայերէն	hyw
Herero	Otsiherero	hz
Interlingua	interlingua	ia
Indonesian	Bahasa Indonesia	id
Interlingue	Interlingue	ie
Igbo	Igbo	ig
Nuosu	ꆇꉙ	ii
Inupiaq	Iñupiatun	ik
Ilokano	Ilokano	ilo
Ingush	гӀалгӀай	inh
Ido	Ido	io
Icelandic	íslenska	is
Italian	italiano	it
Inuktitut	ᐃᓄᒃᑎᑐᑦ/inuktitut	iu
Japanese	日本語	ja
Jamaican Patois	Patois	jam
Lojban	la .lojban.	jbo
Javanese	Jawa	jv
Georgian	ქართული	ka
Karakalpak	Qaraqalpaqsha	kaa
Kabyle	Taqbaylit	kab
Kabardian	адыгэбзэ	kbd
Kabiye	Kabɩyɛ	kbp
Tyap	Tyap	kcg
Kongo	Kongo	kg
Kikuyu	Gĩkũyũ	ki
Kuanyama	Kwanyama	kj
Kazakh	қазақша	kk
Greenlandic	kalaallisut	kl
Khmer	ភាសាខ្មែរ	km
Kannada	ಕನ್ನಡ	kn
Korean	한국어	ko
Komi-Permyak	перем коми	koi
Kanuri	kanuri	kr
Karachay-Balkar	къарачай-малкъар	krc
Kashmiri	कॉशुर / کٲشُر	ks
Ripuarian	Ripoarisch	ksh
Kurdish (Kurmanji)	kurdî	ku
Komi	коми	kv
Cornish	kernowek	kw
Kyrgyz	кыргызча	ky
Latin	Latina	la
Ladino	Ladino	lad
Luxembourgish	Lëtzebuergesch	lb
Lak	лакку	lbe
Lezgian	лезги	lez
Lingua Franca Nova	Lingua Franca Nova	lfn
Luganda	Luganda	lg
Limburgish	Limburgs	li
Ligurian	Ligure	lij
Ladin	Ladin	lld
Lombard	lombard	lmo
Lingala	lingála	ln
Lao	ລາວ	lo
Northern Luri	لۊری شومالی	lrc
Lithuanian	lietuvių	lt
Latgalian	latgaļu	ltg
Latvian	latviešu	lv
Madurese	Madhurâ	mad
Maithili	मैथिली	mai
Banyumasan	Basa Banyumasan	map-bms
Moksha	мокшень	mdf
Malagasy	Malagasy	mg
Marshallese	Ebon	mh
Meadow Mari	олык марий	mhr
Māori	Māori	mi
Minangkabau	Minangkabau	min
Macedonian	македонски	mk
Malayalam	മലയാളം	ml
Mongolian	монгол	mn
Meitei	ꯃꯤꯇꯩ ꯂꯣꯟ	mni
Mon	ဘာသာ မန်	mnw
Marathi	मराठी	mr
Hill Mari	кырык мары	mrj
Malay	Bahasa Melayu	ms
Maltese	Malti	mt
Muscogee	Mvskoke	mus
Mirandese	Mirandés	mwl
Burmese	မြန်မာဘာသာ	my
Erzya	эрзянь	myv
Mazanderani	مازِرونی	mzn
Nauruan	Dorerin Naoero	na
Nahuatl	Nāhuatl	nah
Neapolitan	Napulitano	nap
Low German	Plattdüütsch	nds
Dutch Low Saxon	Nedersaksies	nds-nl
Nepali	नेपाली	ne
Newar	नेपाल भाषा	new
Ndonga	Oshiwambo	ng
Nias	Li Niha	nia
Dutch	Nederlands	nl
Norwegian (Nynorsk)	norsk nynorsk	nn
Norwegian (Bokmål)	norsk	no
Novial	Novial	nov
N'Ko	ߒߞߏ	nqo
Norman	Nouormand	nrm
Northern Sotho	Sesotho sa Leboa	nso
Navajo	Diné bizaad	nv
Chewa	Chi-Chewa	ny
Occitan	occitan	oc
Livvi-Karelian	livvinkarjala	olo
Oromo	Oromoo	om
Odia	ଓଡ଼ିଆ	or
Ossetian	ирон	os
Punjabi	ਪੰਜਾਬੀ	pa
Pangasinan	Pangasinan	pag
Kapampangan	Kapampangan	pam
Papiamento	Papiamentu	pap
Picard	Picard	pcd
Nigerian Pidgin	Naijá	pcm
Pennsylvania German	Deitsch	pdc
Palatinate German	Pälzisch	pfl
Pali	पालि	pi
Norfolk	Norfuk / Pitkern	pih
Polish	polski	pl
Piedmontese	Piemontèis	pms
Western Punjabi	پنجابی	pnb
Pontic Greek	Ποντιακά	pnt
Pashto	پښتو	ps
Portuguese	português	pt
Paiwan	pinayuanan	pwn
Quechua	Runa Simi	qu
Romansh	rumantsch	rm
Romani	romani čhib	rmy
Kirundi	ikirundi	rn
Romanian	română	ro
Aromanian	armãneashti	roa-rup
Tarantino	tarandíne	roa-tara
Russian	русский	ru
Rusyn	русиньскый	rue
Kinyarwanda	Ikinyarwanda	rw
Sanskrit	संस्कृतम्	sa
Sakha	саха тыла	sah
