ICENSE TYPE,Time,Document Count
licenses/by/3.0,2009-1,124273
licenses/by/3.0,2009-7,140256
licenses/by/3.0,2010-1,175063
licenses/by/3.0,2010-7,309523
licenses/by/3.0,2011-1,421997
licenses/by/3.0,2011-7,653652
licenses/by/3.0,2012-1,689875
licenses/by/3.0,2012-7,841763
licenses/by/3.0,2013-1,1000000
licenses/by/3.0,2013-7,1000000
licenses/by/3.0,2014-1,1000000
licenses/by/3.0,2014-7,1000000
licenses/by/3.0,2015-1,1000000
licenses/by/3.0,2015-7,1000000
licenses/by/3.0,2016-1,1000000
licenses/by/3.0,2016-7,1000000
licenses/by/3.0,2017-1,1000000
licenses/by/3.0,2017-7,1000000
licenses/by/3.0,2018-1,1000000
licenses/by/3.0,2018-7,1000000
licenses/by/3.0,2019-1,1000000
licenses/by/3.0,2019-7,1000000
licenses/by/3.0,2020-1,1000000
licenses/by/3.0,2020-7,1000000
licenses/by/3.0,2021-1,1000000
licenses/by/3.0,2021-7,1000000
licenses/by/3.0,2022-1,1000000
licenses/by/3.0,2022-7,1000000
