LICENSE TYPE,Time,Document Count
licenses/by/3.0,2009-1,39249
licenses/by/3.0,2009-3,28179
licenses/by/3.0,2009-5,51151
licenses/by/3.0,2009-7,30800
licenses/by/3.0,2009-9,46546
licenses/by/3.0,2009-11,45884
licenses/by/3.0,2010-1,63383
licenses/by/3.0,2010-3,60578
licenses/by/3.0,2010-5,61262
licenses/by/3.0,2010-7,113818
licenses/by/3.0,2010-9,84425
licenses/by/3.0,2010-11,122859
licenses/by/3.0,2011-1,109743
licenses/by/3.0,2011-3,172020
licenses/by/3.0,2011-5,185505
licenses/by/3.0,2011-7,308042
licenses/by/3.0,2011-9,244272
licenses/by/3.0,2011-11,404838
licenses/by/3.0,2012-1,324979
licenses/by/3.0,2012-3,401296
licenses/by/3.0,2012-5,314525
licenses/by/3.0,2012-7,429611
licenses/by/3.0,2012-9,330419
licenses/by/3.0,2012-11,293507
licenses/by/3.0,2013-1,484948
licenses/by/3.0,2013-3,297950
licenses/by/3.0,2013-5,580004
licenses/by/3.0,2013-7,462356
licenses/by/3.0,2013-9,751438
licenses/by/3.0,2013-11,446565
licenses/by/3.0,2014-1,719900
licenses/by/3.0,2014-3,548441
licenses/by/3.0,2014-5,841513
licenses/by/3.0,2014-7,635630
licenses/by/3.0,2014-9,680543
licenses/by/3.0,2014-11,686008
licenses/by/3.0,2015-1,732614
licenses/by/3.0,2015-3,1000000
licenses/by/3.0,2015-5,920836
licenses/by/3.0,2015-7,1000000
licenses/by/3.0,2015-9,994304
licenses/by/3.0,2015-11,1000000
licenses/by/3.0,2016-1,1000000
licenses/by/3.0,2016-3,1000000
licenses/by/3.0,2016-5,1000000
licenses/by/3.0,2016-7,1000000
licenses/by/3.0,2016-9,1000000
licenses/by/3.0,2016-11,1000000
licenses/by/3.0,2017-1,1000000
licenses/by/3.0,2017-3,1000000
licenses/by/3.0,2017-5,1000000
licenses/by/3.0,2017-7,1000000
licenses/by/3.0,2017-9,1000000
licenses/by/3.0,2017-11,1000000
licenses/by/3.0,2018-1,1000000
licenses/by/3.0,2018-3,1000000
licenses/by/3.0,2018-5,1000000
licenses/by/3.0,2018-7,1000000
licenses/by/3.0,2018-9,1000000
licenses/by/3.0,2018-11,1000000
licenses/by/3.0,2019-1,1000000
licenses/by/3.0,2019-3,1000000
licenses/by/3.0,2019-5,1000000
licenses/by/3.0,2019-7,1000000
licenses/by/3.0,2019-9,1000000
licenses/by/3.0,2019-11,1000000
licenses/by/3.0,2020-1,1000000
licenses/by/3.0,2020-3,1000000
licenses/by/3.0,2020-5,1000000
licenses/by/3.0,2020-7,1000000
licenses/by/3.0,2020-9,1000000
licenses/by/3.0,2020-11,1000000
licenses/by/3.0,2021-1,1000000
licenses/by/3.0,2021-3,1000000
licenses/by/3.0,2021-5,1000000
licenses/by/3.0,2021-7,1000000
licenses/by/3.0,2021-9,1000000
licenses/by/3.0,2021-11,1000000
licenses/by/3.0,2022-1,1000000
licenses/by/3.0,2022-3,1000000
licenses/by/3.0,2022-5,1000000
licenses/by/3.0,2022-7,1000000
licenses/by/3.0,2022-9,1000000
licenses/by/3.0,2022-11,986538
licenses/by/3.0,2023-1,1000000
licenses/by/3.0,2023-3,711609
